,Company,Year,Quarter,OCI L4,OCI L5,Value
8,Total Canadian P&C,2020,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Total Canadian P&C,2020,Q2,FX Translation,Change in Unrealized Gains and Losses,-17379
10,Total Canadian P&C,2020,Q2,FX Translation,Impact of Hedging,-67552
11,Total Canadian P&C,2020,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",872
12,Total Canadian P&C,2020,Q2,Other,Other,-76467
13,Total Canadian P&C,2020,Q2,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,-1255185
14,Total Canadian P&C,2020,Q2,Revaluation Surplus, Equities (IFRS 9),19388
15,Total Canadian P&C,2020,Q2,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Total Canadian P&C,2020,Q2,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Total Canadian P&C,2020,Q2,Other,Remeasurements of Defined Benefit Plans,-122415
18,Total Canadian P&C,2020,Q2,N/A,Other,897
19,Total Canadian P&C,2020,Q2,N/A,Equity Holders,-501514
20,Total Canadian P&C,2020,Q2,FVOCI, Loans,-77
21,Total Canadian P&C,2020,Q2,FVOCI, Bonds and Debentures,638163
22,Total Canadian P&C,2020,Q2,FVOCI, Equities (IAS 39),-557485
23,Total Canadian P&C,2020,Q2,FX Translation,Foreign Currency (Net of Hedging Activities),-42750
24,Total Canadian P&C,2020,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",44825
25,Total Canadian P&C,2020,Q2,Other,Other,-69044
26,Total Canadian P&C,2020,Q2,FVOCI, Equities (IFRS 9),36468
27,Total Canadian P&C,2020,Q2,Revaluation Surplus,Revaluation Surplus,0
28,Total Canadian P&C,2020,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Total Canadian P&C,2020,Q2,DBP Remeasurements,Remeasurements of Defined Benefit Plans,114686
30,Total Canadian P&C,2020,Q2,Other,Other,19809
0,Total Canadian P&C,2020,Q3,0,Net Income,1123119
1,Total Canadian P&C,2020,Q3,FVOCI, Loans,152
2,Total Canadian P&C,2020,Q3,FVOCI, Bonds and Debentures,165281
3,Total Canadian P&C,2020,Q3,FVOCI, Equities (IAS 39),852196
4,Total Canadian P&C,2020,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,110868
5,Total Canadian P&C,2020,Q3,Overlay Approach,Unrealized Gains and Losses,143282
6,Total Canadian P&C,2020,Q3,Overlay Approach,Reclassification of (Gains) Losses from Net Income,16652
7,Total Canadian P&C,2020,Q3,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Total Canadian P&C,2020,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Total Canadian P&C,2020,Q3,FX Translation,Change in Unrealized Gains and Losses,30999
10,Total Canadian P&C,2020,Q3,FX Translation,Impact of Hedging,108052
11,Total Canadian P&C,2020,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",30751
12,Total Canadian P&C,2020,Q3,Other,Other,106064
13,Total Canadian P&C,2020,Q3,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,1661735
14,Total Canadian P&C,2020,Q3,Revaluation Surplus, Equities (IFRS 9),-5529
15,Total Canadian P&C,2020,Q3,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Total Canadian P&C,2020,Q3,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Total Canadian P&C,2020,Q3,Other,Remeasurements of Defined Benefit Plans,188461
18,Total Canadian P&C,2020,Q3,N/A,Other,9725
19,Total Canadian P&C,2020,Q3,N/A,Equity Holders,2494463
20,Total Canadian P&C,2020,Q3,FVOCI, Loans,218
21,Total Canadian P&C,2020,Q3,FVOCI, Bonds and Debentures,431368
22,Total Canadian P&C,2020,Q3,FVOCI, Equities (IAS 39),581668
23,Total Canadian P&C,2020,Q3,FX Translation,Foreign Currency (Net of Hedging Activities),48768
24,Total Canadian P&C,2020,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",13522
25,Total Canadian P&C,2020,Q3,Other,Other,157300
26,Total Canadian P&C,2020,Q3,FVOCI, Equities (IFRS 9),-5091
27,Total Canadian P&C,2020,Q3,Revaluation Surplus,Revaluation Surplus,0
28,Total Canadian P&C,2020,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Total Canadian P&C,2020,Q3,DBP Remeasurements,Remeasurements of Defined Benefit Plans,192632
30,Total Canadian P&C,2020,Q3,Other,Other,41942
0,Total Canadian P&C,2019,Q1,0,Net Income,51613
1,Total Canadian P&C,2019,Q1,FVOCI, Loans,9
2,Total Canadian P&C,2019,Q1,FVOCI, Bonds and Debentures,397114
3,Total Canadian P&C,2019,Q1,FVOCI, Equities (IAS 39),408312
4,Total Canadian P&C,2019,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,55528
5,Total Canadian P&C,2019,Q1,Overlay Approach,Unrealized Gains and Losses,57537
6,Total Canadian P&C,2019,Q1,Overlay Approach,Reclassification of (Gains) Losses from Net Income,1155
7,Total Canadian P&C,2019,Q1,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Total Canadian P&C,2019,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Total Canadian P&C,2019,Q1,FX Translation,Change in Unrealized Gains and Losses,15859
10,Total Canadian P&C,2019,Q1,FX Translation,Impact of Hedging,30012
11,Total Canadian P&C,2019,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",22377
12,Total Canadian P&C,2019,Q1,Other,Other,27809
13,Total Canadian P&C,2019,Q1,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,815010
14,Total Canadian P&C,2019,Q1,Revaluation Surplus, Equities (IFRS 9),18133
15,Total Canadian P&C,2019,Q1,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Total Canadian P&C,2019,Q1,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Total Canadian P&C,2019,Q1,Other,Remeasurements of Defined Benefit Plans,41941
18,Total Canadian P&C,2019,Q1,N/A,Other,48
19,Total Canadian P&C,2019,Q1,N/A,Equity Holders,703275
20,Total Canadian P&C,2019,Q1,FVOCI, Loans,37
21,Total Canadian P&C,2019,Q1,FVOCI, Bonds and Debentures,388024
22,Total Canadian P&C,2019,Q1,FVOCI, Equities (IAS 39),197001
23,Total Canadian P&C,2019,Q1,FX Translation,Foreign Currency (Net of Hedging Activities),27040
24,Total Canadian P&C,2019,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",16706
25,Total Canadian P&C,2019,Q1,Other,Other,94511
26,Total Canadian P&C,2019,Q1,FVOCI, Equities (IFRS 9),14141
27,Total Canadian P&C,2019,Q1,Revaluation Surplus,Revaluation Surplus,3035
28,Total Canadian P&C,2019,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Total Canadian P&C,2019,Q1,DBP Remeasurements,Remeasurements of Defined Benefit Plans,179851
30,Total Canadian P&C,2019,Q1,Other,Other,48189
0,Total Canadian P&C,2019,Q2,0,Net Income,428406
1,Total Canadian P&C,2019,Q2,FVOCI, Loans,42
2,Total Canadian P&C,2019,Q2,FVOCI, Bonds and Debentures,183249
3,Total Canadian P&C,2019,Q2,FVOCI, Equities (IAS 39),-45249
4,Total Canadian P&C,2019,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,85753
5,Total Canadian P&C,2019,Q2,Overlay Approach,Unrealized Gains and Losses,2532
6,Total Canadian P&C,2019,Q2,Overlay Approach,Reclassification of (Gains) Losses from Net Income,3257
7,Total Canadian P&C,2019,Q2,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Total Canadian P&C,2019,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Total Canadian P&C,2019,Q2,FX Translation,Change in Unrealized Gains and Losses,16065
10,Total Canadian P&C,2019,Q2,FX Translation,Impact of Hedging,29336
11,Total Canadian P&C,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",10045
12,Total Canadian P&C,2019,Q2,Other,Other,29957
13,Total Canadian P&C,2019,Q2,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,44923
14,Total Canadian P&C,2019,Q2,Revaluation Surplus, Equities (IFRS 9),-3388
15,Total Canadian P&C,2019,Q2,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Total Canadian P&C,2019,Q2,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Total Canadian P&C,2019,Q2,Other,Remeasurements of Defined Benefit Plans,57109
18,Total Canadian P&C,2019,Q2,N/A,Other,1
19,Total Canadian P&C,2019,Q2,N/A,Equity Holders,522833
20,Total Canadian P&C,2019,Q2,FVOCI, Loans,42
21,Total Canadian P&C,2019,Q2,FVOCI, Bonds and Debentures,145763
22,Total Canadian P&C,2019,Q2,FVOCI, Equities (IAS 39),-93531
23,Total Canadian P&C,2019,Q2,FX Translation,Foreign Currency (Net of Hedging Activities),13271
24,Total Canadian P&C,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",10044
25,Total Canadian P&C,2019,Q2,Other,Other,-29957
26,Total Canadian P&C,2019,Q2,FVOCI, Equities (IFRS 9),-3388
27,Total Canadian P&C,2019,Q2,Revaluation Surplus,Revaluation Surplus,0
28,Total Canadian P&C,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Total Canadian P&C,2019,Q2,DBP Remeasurements,Remeasurements of Defined Benefit Plans,25421
30,Total Canadian P&C,2019,Q2,Other,Other,0
0,Total Canadian P&C,2019,Q3,0,Net Income,378848
1,Total Canadian P&C,2019,Q3,FVOCI, Loans,44
2,Total Canadian P&C,2019,Q3,FVOCI, Bonds and Debentures,396467
3,Total Canadian P&C,2019,Q3,FVOCI, Equities (IAS 39),468388
4,Total Canadian P&C,2019,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,76340
5,Total Canadian P&C,2019,Q3,Overlay Approach,Unrealized Gains and Losses,60006
6,Total Canadian P&C,2019,Q3,Overlay Approach,Reclassification of (Gains) Losses from Net Income,-1601
7,Total Canadian P&C,2019,Q3,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Total Canadian P&C,2019,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Total Canadian P&C,2019,Q3,FX Translation,Change in Unrealized Gains and Losses,6704
10,Total Canadian P&C,2019,Q3,FX Translation,Impact of Hedging,12796
11,Total Canadian P&C,2019,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",24892
12,Total Canadian P&C,2019,Q3,Other,Other,10806
13,Total Canadian P&C,2019,Q3,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,870344
14,Total Canadian P&C,2019,Q3,Revaluation Surplus, Equities (IFRS 9),22222
15,Total Canadian P&C,2019,Q3,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Total Canadian P&C,2019,Q3,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Total Canadian P&C,2019,Q3,Other,Remeasurements of Defined Benefit Plans,65647
18,Total Canadian P&C,2019,Q3,N/A,Other,45
19,Total Canadian P&C,2019,Q3,N/A,Equity Holders,1058052
20,Total Canadian P&C,2019,Q3,FVOCI, Loans,72
21,Total Canadian P&C,2019,Q3,FVOCI, Bonds and Debentures,364372
22,Total Canadian P&C,2019,Q3,FVOCI, Equities (IAS 39),259960
23,Total Canadian P&C,2019,Q3,FX Translation,Foreign Currency (Net of Hedging Activities),18974
24,Total Canadian P&C,2019,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",19222
25,Total Canadian P&C,2019,Q3,Other,Other,111515
26,Total Canadian P&C,2019,Q3,FVOCI, Equities (IFRS 9),18230
27,Total Canadian P&C,2019,Q3,Revaluation Surplus,Revaluation Surplus,3035
28,Total Canadian P&C,2019,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Total Canadian P&C,2019,Q3,DBP Remeasurements,Remeasurements of Defined Benefit Plans,201210
30,Total Canadian P&C,2019,Q3,Other,Other,48189
0,Total Canadian P&C,2019,Q4,0,Net Income,1215999
1,Total Canadian P&C,2019,Q4,FVOCI, Loans,-7
2,Total Canadian P&C,2019,Q4,FVOCI, Bonds and Debentures,28344
3,Total Canadian P&C,2019,Q4,FVOCI, Equities (IAS 39),112508
4,Total Canadian P&C,2019,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,137517
5,Total Canadian P&C,2019,Q4,Overlay Approach,Unrealized Gains and Losses,18966
6,Total Canadian P&C,2019,Q4,Overlay Approach,Reclassification of (Gains) Losses from Net Income,9104
7,Total Canadian P&C,2019,Q4,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Total Canadian P&C,2019,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Total Canadian P&C,2019,Q4,FX Translation,Change in Unrealized Gains and Losses,31094
10,Total Canadian P&C,2019,Q4,FX Translation,Impact of Hedging,59348
11,Total Canadian P&C,2019,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",7694
12,Total Canadian P&C,2019,Q4,Other,Other,60464
13,Total Canadian P&C,2019,Q4,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,-11326
14,Total Canadian P&C,2019,Q4,Revaluation Surplus, Equities (IFRS 9),-712
15,Total Canadian P&C,2019,Q4,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Total Canadian P&C,2019,Q4,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Total Canadian P&C,2019,Q4,Other,Remeasurements of Defined Benefit Plans,68960
18,Total Canadian P&C,2019,Q4,N/A,Other,4275
19,Total Canadian P&C,2019,Q4,N/A,Equity Holders,1235376
20,Total Canadian P&C,2019,Q4,FVOCI, Loans,-7
21,Total Canadian P&C,2019,Q4,FVOCI, Bonds and Debentures,-17281
22,Total Canadian P&C,2019,Q4,FVOCI, Equities (IAS 39),25704
23,Total Canadian P&C,2019,Q4,FX Translation,Foreign Currency (Net of Hedging Activities),28259
24,Total Canadian P&C,2019,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",7694
25,Total Canadian P&C,2019,Q4,Other,Other,-60279
26,Total Canadian P&C,2019,Q4,FVOCI, Equities (IFRS 9),-712
27,Total Canadian P&C,2019,Q4,Revaluation Surplus,Revaluation Surplus,-3035
28,Total Canadian P&C,2019,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Total Canadian P&C,2019,Q4,DBP Remeasurements,Remeasurements of Defined Benefit Plans,50535
30,Total Canadian P&C,2019,Q4,Other,Other,3319
0,Total Canadian P&C,2018,Q1,0,Net Income,151124
1,Total Canadian P&C,2018,Q1,FVOCI, Loans,24
2,Total Canadian P&C,2018,Q1,FVOCI, Bonds and Debentures,115248
3,Total Canadian P&C,2018,Q1,FVOCI, Equities (IAS 39),103530
4,Total Canadian P&C,2018,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,64878
5,Total Canadian P&C,2018,Q1,Overlay Approach,Unrealized Gains and Losses,24719
6,Total Canadian P&C,2018,Q1,Overlay Approach,Reclassification of (Gains) Losses from Net Income,33565
7,Total Canadian P&C,2018,Q1,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,398
8,Total Canadian P&C,2018,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,100
9,Total Canadian P&C,2018,Q1,FX Translation,Change in Unrealized Gains and Losses,16732
10,Total Canadian P&C,2018,Q1,FX Translation,Impact of Hedging,398
11,Total Canadian P&C,2018,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",832
12,Total Canadian P&C,2018,Q1,Other,Other,0
13,Total Canadian P&C,2018,Q1,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,326760
14,Total Canadian P&C,2018,Q1,Revaluation Surplus, Equities (IFRS 9),1921
15,Total Canadian P&C,2018,Q1,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Total Canadian P&C,2018,Q1,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Total Canadian P&C,2018,Q1,Other,Remeasurements of Defined Benefit Plans,3029
18,Total Canadian P&C,2018,Q1,N/A,Other,736
19,Total Canadian P&C,2018,Q1,N/A,Equity Holders,171422
20,Total Canadian P&C,2018,Q1,FVOCI, Loans,23
21,Total Canadian P&C,2018,Q1,FVOCI, Bonds and Debentures,34360
22,Total Canadian P&C,2018,Q1,FVOCI, Equities (IAS 39),390953
23,Total Canadian P&C,2018,Q1,FX Translation,Foreign Currency (Net of Hedging Activities),93260
24,Total Canadian P&C,2018,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",499
25,Total Canadian P&C,2018,Q1,Other,Other,1930
26,Total Canadian P&C,2018,Q1,FVOCI, Equities (IFRS 9),14141
27,Total Canadian P&C,2018,Q1,Revaluation Surplus,Revaluation Surplus,0
28,Total Canadian P&C,2018,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Total Canadian P&C,2018,Q1,DBP Remeasurements,Remeasurements of Defined Benefit Plans,155879
30,Total Canadian P&C,2018,Q1,Other,Other,59352
0,Total Canadian P&C,2018,Q2,0,Net Income,216081
1,Total Canadian P&C,2018,Q2,FVOCI, Loans,-1
2,Total Canadian P&C,2018,Q2,FVOCI, Bonds and Debentures,62379
3,Total Canadian P&C,2018,Q2,FVOCI, Equities (IAS 39),-42168
4,Total Canadian P&C,2018,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,45239
5,Total Canadian P&C,2018,Q2,Overlay Approach,Unrealized Gains and Losses,-8286
6,Total Canadian P&C,2018,Q2,Overlay Approach,Reclassification of (Gains) Losses from Net Income,10589
7,Total Canadian P&C,2018,Q2,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,342
8,Total Canadian P&C,2018,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,63
9,Total Canadian P&C,2018,Q2,FX Translation,Change in Unrealized Gains and Losses,12838
10,Total Canadian P&C,2018,Q2,FX Translation,Impact of Hedging,73489
11,Total Canadian P&C,2018,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",-230
12,Total Canadian P&C,2018,Q2,Other,Other,72100
13,Total Canadian P&C,2018,Q2,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,-66372
14,Total Canadian P&C,2018,Q2,Revaluation Surplus, Equities (IFRS 9),4579
15,Total Canadian P&C,2018,Q2,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Total Canadian P&C,2018,Q2,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Total Canadian P&C,2018,Q2,Other,Remeasurements of Defined Benefit Plans,26197
18,Total Canadian P&C,2018,Q2,N/A,Other,-725
19,Total Canadian P&C,2018,Q2,N/A,Equity Holders,-41890
20,Total Canadian P&C,2018,Q2,FVOCI, Loans,1
21,Total Canadian P&C,2018,Q2,FVOCI, Bonds and Debentures,-27596
22,Total Canadian P&C,2018,Q2,FVOCI, Equities (IAS 39),102719
23,Total Canadian P&C,2018,Q2,FX Translation,Foreign Currency (Net of Hedging Activities),-60651
24,Total Canadian P&C,2018,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",230
25,Total Canadian P&C,2018,Q2,Other,Other,72100
26,Total Canadian P&C,2018,Q2,FVOCI, Equities (IFRS 9),-8421
27,Total Canadian P&C,2018,Q2,Revaluation Surplus,Revaluation Surplus,0
28,Total Canadian P&C,2018,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Total Canadian P&C,2018,Q2,DBP Remeasurements,Remeasurements of Defined Benefit Plans,-10095
30,Total Canadian P&C,2018,Q2,Other,Other,-726
0,Total Canadian P&C,2018,Q3,0,Net Income,604894
1,Total Canadian P&C,2018,Q3,FVOCI, Loans,25
2,Total Canadian P&C,2018,Q3,FVOCI, Bonds and Debentures,263826
3,Total Canadian P&C,2018,Q3,FVOCI, Equities (IAS 39),132113
4,Total Canadian P&C,2018,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,77426
5,Total Canadian P&C,2018,Q3,Overlay Approach,Unrealized Gains and Losses,68964
6,Total Canadian P&C,2018,Q3,Overlay Approach,Reclassification of (Gains) Losses from Net Income,26778
7,Total Canadian P&C,2018,Q3,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,728
8,Total Canadian P&C,2018,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,154
9,Total Canadian P&C,2018,Q3,FX Translation,Change in Unrealized Gains and Losses,5044
10,Total Canadian P&C,2018,Q3,FX Translation,Impact of Hedging,-19841
11,Total Canadian P&C,2018,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",2237
12,Total Canadian P&C,2018,Q3,Other,Other,-19899
13,Total Canadian P&C,2018,Q3,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,509791
14,Total Canadian P&C,2018,Q3,Revaluation Surplus, Equities (IFRS 9),-2971
15,Total Canadian P&C,2018,Q3,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Total Canadian P&C,2018,Q3,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Total Canadian P&C,2018,Q3,Other,Remeasurements of Defined Benefit Plans,45971
18,Total Canadian P&C,2018,Q3,N/A,Other,737
19,Total Canadian P&C,2018,Q3,N/A,Equity Holders,489994
20,Total Canadian P&C,2018,Q3,FVOCI, Loans,23
21,Total Canadian P&C,2018,Q3,FVOCI, Bonds and Debentures,170232
22,Total Canadian P&C,2018,Q3,FVOCI, Equities (IAS 39),394336
23,Total Canadian P&C,2018,Q3,FX Translation,Foreign Currency (Net of Hedging Activities),101811
24,Total Canadian P&C,2018,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",446
25,Total Canadian P&C,2018,Q3,Other,Other,-17969
26,Total Canadian P&C,2018,Q3,FVOCI, Equities (IFRS 9),19033
27,Total Canadian P&C,2018,Q3,Revaluation Surplus,Revaluation Surplus,0
28,Total Canadian P&C,2018,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
