,Company,Year,Quarter,SOI L1,SOI L2,SOI L3,Value
7,Total Canadian P&C,2020,Q2,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,2384218
8,Total Canadian P&C,2020,Q2,Cost,Acquisition Expenses,Gross Commissions,2179312
9,Total Canadian P&C,2020,Q2,Revenue,Acquisition Expenses,Ceded Commissions,707988
10,Total Canadian P&C,2020,Q2,Cost,Acquisition Expenses,Taxes,382944
11,Total Canadian P&C,2020,Q2,Cost,Acquisition Expenses,Other ,313876
12,Total Canadian P&C,2020,Q2,Cost,General Expenses,General Expenses ,848145
13,Total Canadian P&C,2020,Q2,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Total Canadian P&C,2020,Q2,Investment Income,Investment Operations,Income,404176
15,Total Canadian P&C,2020,Q2,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,797796
16,Total Canadian P&C,2020,Q2,Investment Income,Investment Operations,Realized Gains (Losses),341018
17,Total Canadian P&C,2020,Q2,Investment Costs,Investment Operations,Expenses,27852
18,Total Canadian P&C,2020,Q2,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,9380
19,Total Canadian P&C,2020,Q2,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",8878
20,Total Canadian P&C,2020,Q2,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),234005
21,Total Canadian P&C,2020,Q2,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,25938
22,Total Canadian P&C,2020,Q2,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,84006
23,Total Canadian P&C,2020,Q2,Other Revenue,Other Revenue/Expenses,Other Revenues,82613
24,Total Canadian P&C,2020,Q2,Other Costs,Other Revenue/Expenses,Finance Costs,4985
25,Total Canadian P&C,2020,Q2,Other Costs,Other Revenue/Expenses,Other Expenses,27901
26,Total Canadian P&C,2020,Q2,Tax,Tax,Current,97093
27,Total Canadian P&C,2020,Q2,Tax,Tax,Deferred,92596
28,Total Canadian P&C,2020,Q2,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Total Canadian P&C,2020,Q2,Equity Holders,Equity Breakdown,Equity Holders,48867
0,Total Canadian P&C,2019,Q1,Revenue,Premiums Written,Direct,9248341
1,Total Canadian P&C,2019,Q1,Revenue,Premiums Written,Reinsurance Assumed,550904
2,Total Canadian P&C,2019,Q1,Cost,Premiums Written,Reinsurance Ceded,4111391
3,Total Canadian P&C,2019,Q1,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,1930562
4,Total Canadian P&C,2019,Q1,Revenue,Net Premiums Earned,Service Charges ,45615
5,Total Canadian P&C,2019,Q1,Revenue,Net Premiums Earned,Other ,1752
6,Total Canadian P&C,2019,Q1,Cost,Gross Claims,Gross Claims and Adjustment Expenses,8622973
7,Total Canadian P&C,2019,Q1,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,3029995
8,Total Canadian P&C,2019,Q1,Cost,Acquisition Expenses,Gross Commissions,1919961
9,Total Canadian P&C,2019,Q1,Revenue,Acquisition Expenses,Ceded Commissions,528903
10,Total Canadian P&C,2019,Q1,Cost,Acquisition Expenses,Taxes,372228
11,Total Canadian P&C,2019,Q1,Cost,Acquisition Expenses,Other ,321235
12,Total Canadian P&C,2019,Q1,Cost,General Expenses,General Expenses ,824988
13,Total Canadian P&C,2019,Q1,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Total Canadian P&C,2019,Q1,Investment Income,Investment Operations,Income,488553
15,Total Canadian P&C,2019,Q1,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,351346
16,Total Canadian P&C,2019,Q1,Investment Income,Investment Operations,Realized Gains (Losses),48428
17,Total Canadian P&C,2019,Q1,Investment Costs,Investment Operations,Expenses,26634
18,Total Canadian P&C,2019,Q1,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,3272
19,Total Canadian P&C,2019,Q1,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",2032
20,Total Canadian P&C,2019,Q1,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),76846
21,Total Canadian P&C,2019,Q1,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,123812
22,Total Canadian P&C,2019,Q1,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,14547
23,Total Canadian P&C,2019,Q1,Other Revenue,Other Revenue/Expenses,Other Revenues,12499
24,Total Canadian P&C,2019,Q1,Other Costs,Other Revenue/Expenses,Finance Costs,5049
25,Total Canadian P&C,2019,Q1,Other Costs,Other Revenue/Expenses,Other Expenses,51787
26,Total Canadian P&C,2019,Q1,Tax,Tax,Current,71346
27,Total Canadian P&C,2019,Q1,Tax,Tax,Deferred,37934
28,Total Canadian P&C,2019,Q1,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Total Canadian P&C,2019,Q1,Equity Holders,Equity Breakdown,Equity Holders,51613
0,Total Canadian P&C,2019,Q2,Revenue,Premiums Written,Direct,12558555
1,Total Canadian P&C,2019,Q2,Revenue,Premiums Written,Reinsurance Assumed,1430568
2,Total Canadian P&C,2019,Q2,Cost,Premiums Written,Reinsurance Ceded,3151183
3,Total Canadian P&C,2019,Q2,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,-1641903
4,Total Canadian P&C,2019,Q2,Revenue,Net Premiums Earned,Service Charges ,47573
5,Total Canadian P&C,2019,Q2,Revenue,Net Premiums Earned,Other ,1565
6,Total Canadian P&C,2019,Q2,Cost,Gross Claims,Gross Claims and Adjustment Expenses,8170474
7,Total Canadian P&C,2019,Q2,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,1858803
8,Total Canadian P&C,2019,Q2,Cost,Acquisition Expenses,Gross Commissions,1951092
9,Total Canadian P&C,2019,Q2,Revenue,Acquisition Expenses,Ceded Commissions,612070
10,Total Canadian P&C,2019,Q2,Cost,Acquisition Expenses,Taxes,371445
11,Total Canadian P&C,2019,Q2,Cost,Acquisition Expenses,Other ,337551
12,Total Canadian P&C,2019,Q2,Cost,General Expenses,General Expenses ,863471
13,Total Canadian P&C,2019,Q2,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Total Canadian P&C,2019,Q2,Investment Income,Investment Operations,Income,481058
15,Total Canadian P&C,2019,Q2,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,207591
16,Total Canadian P&C,2019,Q2,Investment Income,Investment Operations,Realized Gains (Losses),4826
17,Total Canadian P&C,2019,Q2,Investment Costs,Investment Operations,Expenses,26410
18,Total Canadian P&C,2019,Q2,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,-589
19,Total Canadian P&C,2019,Q2,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",2611
20,Total Canadian P&C,2019,Q2,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),-1049
21,Total Canadian P&C,2019,Q2,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,71539
22,Total Canadian P&C,2019,Q2,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,27244
23,Total Canadian P&C,2019,Q2,Other Revenue,Other Revenue/Expenses,Other Revenues,4063
24,Total Canadian P&C,2019,Q2,Other Costs,Other Revenue/Expenses,Finance Costs,5130
25,Total Canadian P&C,2019,Q2,Other Costs,Other Revenue/Expenses,Other Expenses,26571
26,Total Canadian P&C,2019,Q2,Tax,Tax,Current,-38860
27,Total Canadian P&C,2019,Q2,Tax,Tax,Deferred,31746
28,Total Canadian P&C,2019,Q2,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Total Canadian P&C,2019,Q2,Equity Holders,Equity Breakdown,Equity Holders,428406
0,Total Canadian P&C,2019,Q3,Revenue,Premiums Written,Direct,21725397
1,Total Canadian P&C,2019,Q3,Revenue,Premiums Written,Reinsurance Assumed,1892477
2,Total Canadian P&C,2019,Q3,Cost,Premiums Written,Reinsurance Ceded,7381511
3,Total Canadian P&C,2019,Q3,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,2274318
4,Total Canadian P&C,2019,Q3,Revenue,Net Premiums Earned,Service Charges ,93139
5,Total Canadian P&C,2019,Q3,Revenue,Net Premiums Earned,Other ,-143
6,Total Canadian P&C,2019,Q3,Cost,Gross Claims,Gross Claims and Adjustment Expenses,17083462
7,Total Canadian P&C,2019,Q3,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,4827580
8,Total Canadian P&C,2019,Q3,Cost,Acquisition Expenses,Gross Commissions,3982062
9,Total Canadian P&C,2019,Q3,Revenue,Acquisition Expenses,Ceded Commissions,1167825
10,Total Canadian P&C,2019,Q3,Cost,Acquisition Expenses,Taxes,743711
11,Total Canadian P&C,2019,Q3,Cost,Acquisition Expenses,Other ,648225
12,Total Canadian P&C,2019,Q3,Cost,General Expenses,General Expenses ,1697438
13,Total Canadian P&C,2019,Q3,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Total Canadian P&C,2019,Q3,Investment Income,Investment Operations,Income,921961
15,Total Canadian P&C,2019,Q3,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,369718
16,Total Canadian P&C,2019,Q3,Investment Income,Investment Operations,Realized Gains (Losses),16863
17,Total Canadian P&C,2019,Q3,Investment Costs,Investment Operations,Expenses,52564
18,Total Canadian P&C,2019,Q3,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,4129
19,Total Canadian P&C,2019,Q3,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",792
20,Total Canadian P&C,2019,Q3,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),84431
21,Total Canadian P&C,2019,Q3,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,155424
22,Total Canadian P&C,2019,Q3,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,1405
23,Total Canadian P&C,2019,Q3,Other Revenue,Other Revenue/Expenses,Other Revenues,56552
24,Total Canadian P&C,2019,Q3,Other Costs,Other Revenue/Expenses,Finance Costs,10080
25,Total Canadian P&C,2019,Q3,Other Costs,Other Revenue/Expenses,Other Expenses,76537
26,Total Canadian P&C,2019,Q3,Tax,Tax,Current,195109
27,Total Canadian P&C,2019,Q3,Tax,Tax,Deferred,21647
28,Total Canadian P&C,2019,Q3,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Total Canadian P&C,2019,Q3,Equity Holders,Equity Breakdown,Equity Holders,378848
0,Total Canadian P&C,2019,Q4,Revenue,Premiums Written,Direct,24252607
1,Total Canadian P&C,2019,Q4,Revenue,Premiums Written,Reinsurance Assumed,2765799
2,Total Canadian P&C,2019,Q4,Cost,Premiums Written,Reinsurance Ceded,6082126
3,Total Canadian P&C,2019,Q4,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,-1330227
4,Total Canadian P&C,2019,Q4,Revenue,Net Premiums Earned,Service Charges ,95933
5,Total Canadian P&C,2019,Q4,Revenue,Net Premiums Earned,Other ,207
6,Total Canadian P&C,2019,Q4,Cost,Gross Claims,Gross Claims and Adjustment Expenses,16197377
7,Total Canadian P&C,2019,Q4,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,3567246
8,Total Canadian P&C,2019,Q4,Cost,Acquisition Expenses,Gross Commissions,4005346
9,Total Canadian P&C,2019,Q4,Revenue,Acquisition Expenses,Ceded Commissions,1256703
10,Total Canadian P&C,2019,Q4,Cost,Acquisition Expenses,Taxes,743914
11,Total Canadian P&C,2019,Q4,Cost,Acquisition Expenses,Other ,852729
12,Total Canadian P&C,2019,Q4,Cost,General Expenses,General Expenses ,1562737
13,Total Canadian P&C,2019,Q4,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Total Canadian P&C,2019,Q4,Investment Income,Investment Operations,Income,1032649
15,Total Canadian P&C,2019,Q4,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,215592
16,Total Canadian P&C,2019,Q4,Investment Income,Investment Operations,Realized Gains (Losses),6242
17,Total Canadian P&C,2019,Q4,Investment Costs,Investment Operations,Expenses,56143
18,Total Canadian P&C,2019,Q4,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,6433
19,Total Canadian P&C,2019,Q4,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",3028
20,Total Canadian P&C,2019,Q4,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),13402
21,Total Canadian P&C,2019,Q4,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,118070
22,Total Canadian P&C,2019,Q4,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,41858
23,Total Canadian P&C,2019,Q4,Other Revenue,Other Revenue/Expenses,Other Revenues,26753
24,Total Canadian P&C,2019,Q4,Other Costs,Other Revenue/Expenses,Finance Costs,35990
25,Total Canadian P&C,2019,Q4,Other Costs,Other Revenue/Expenses,Other Expenses,51862
26,Total Canadian P&C,2019,Q4,Tax,Tax,Current,213781
27,Total Canadian P&C,2019,Q4,Tax,Tax,Deferred,16857
28,Total Canadian P&C,2019,Q4,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Total Canadian P&C,2019,Q4,Equity Holders,Equity Breakdown,Equity Holders,1215999
0,Total Canadian P&C,2018,Q1,Revenue,Premiums Written,Direct,8465652
1,Total Canadian P&C,2018,Q1,Revenue,Premiums Written,Reinsurance Assumed,1237230
2,Total Canadian P&C,2018,Q1,Cost,Premiums Written,Reinsurance Ceded,2199156
3,Total Canadian P&C,2018,Q1,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,1207945
4,Total Canadian P&C,2018,Q1,Revenue,Net Premiums Earned,Service Charges ,46054
5,Total Canadian P&C,2018,Q1,Revenue,Net Premiums Earned,Other ,2270
6,Total Canadian P&C,2018,Q1,Cost,Gross Claims,Gross Claims and Adjustment Expenses,7811144
7,Total Canadian P&C,2018,Q1,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,1549747
8,Total Canadian P&C,2018,Q1,Cost,Acquisition Expenses,Gross Commissions,1793988
9,Total Canadian P&C,2018,Q1,Revenue,Acquisition Expenses,Ceded Commissions,497636
10,Total Canadian P&C,2018,Q1,Cost,Acquisition Expenses,Taxes,340368
11,Total Canadian P&C,2018,Q1,Cost,Acquisition Expenses,Other ,310847
12,Total Canadian P&C,2018,Q1,Cost,General Expenses,General Expenses ,853881
13,Total Canadian P&C,2018,Q1,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Total Canadian P&C,2018,Q1,Investment Income,Investment Operations,Income,379195
15,Total Canadian P&C,2018,Q1,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,154082
16,Total Canadian P&C,2018,Q1,Investment Income,Investment Operations,Realized Gains (Losses),182306
17,Total Canadian P&C,2018,Q1,Investment Costs,Investment Operations,Expenses,29124
18,Total Canadian P&C,2018,Q1,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,4837
19,Total Canadian P&C,2018,Q1,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",263
20,Total Canadian P&C,2018,Q1,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),77567
21,Total Canadian P&C,2018,Q1,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,15820
22,Total Canadian P&C,2018,Q1,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,25156
23,Total Canadian P&C,2018,Q1,Other Revenue,Other Revenue/Expenses,Other Revenues,6933
24,Total Canadian P&C,2018,Q1,Other Costs,Other Revenue/Expenses,Finance Costs,1565
25,Total Canadian P&C,2018,Q1,Other Costs,Other Revenue/Expenses,Other Expenses,13111
26,Total Canadian P&C,2018,Q1,Tax,Tax,Current,25811
27,Total Canadian P&C,2018,Q1,Tax,Tax,Deferred,9656
28,Total Canadian P&C,2018,Q1,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Total Canadian P&C,2018,Q1,Equity Holders,Equity Breakdown,Equity Holders,151124
0,Total Canadian P&C,2018,Q2,Revenue,Premiums Written,Direct,11708069
1,Total Canadian P&C,2018,Q2,Revenue,Premiums Written,Reinsurance Assumed,1523084
2,Total Canadian P&C,2018,Q2,Cost,Premiums Written,Reinsurance Ceded,2701834
3,Total Canadian P&C,2018,Q2,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,-761768
4,Total Canadian P&C,2018,Q2,Revenue,Net Premiums Earned,Service Charges ,49128
5,Total Canadian P&C,2018,Q2,Revenue,Net Premiums Earned,Other ,-1141
6,Total Canadian P&C,2018,Q2,Cost,Gross Claims,Gross Claims and Adjustment Expenses,7903534
7,Total Canadian P&C,2018,Q2,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,1665857
8,Total Canadian P&C,2018,Q2,Cost,Acquisition Expenses,Gross Commissions,1826539
9,Total Canadian P&C,2018,Q2,Revenue,Acquisition Expenses,Ceded Commissions,540862
10,Total Canadian P&C,2018,Q2,Cost,Acquisition Expenses,Taxes,347568
11,Total Canadian P&C,2018,Q2,Cost,Acquisition Expenses,Other ,307795
12,Total Canadian P&C,2018,Q2,Cost,General Expenses,General Expenses ,854037
13,Total Canadian P&C,2018,Q2,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Total Canadian P&C,2018,Q2,Investment Income,Investment Operations,Income,430848
15,Total Canadian P&C,2018,Q2,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,-23334
16,Total Canadian P&C,2018,Q2,Investment Income,Investment Operations,Realized Gains (Losses),-43571
17,Total Canadian P&C,2018,Q2,Investment Costs,Investment Operations,Expenses,28725
18,Total Canadian P&C,2018,Q2,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,-2851
19,Total Canadian P&C,2018,Q2,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",1467
20,Total Canadian P&C,2018,Q2,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),5644
21,Total Canadian P&C,2018,Q2,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,37093
22,Total Canadian P&C,2018,Q2,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,13232
23,Total Canadian P&C,2018,Q2,Other Revenue,Other Revenue/Expenses,Other Revenues,64697
24,Total Canadian P&C,2018,Q2,Other Costs,Other Revenue/Expenses,Finance Costs,1473
25,Total Canadian P&C,2018,Q2,Other Costs,Other Revenue/Expenses,Other Expenses,13333
26,Total Canadian P&C,2018,Q2,Tax,Tax,Current,25795
27,Total Canadian P&C,2018,Q2,Tax,Tax,Deferred,-7562
28,Total Canadian P&C,2018,Q2,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Total Canadian P&C,2018,Q2,Equity Holders,Equity Breakdown,Equity Holders,216081
0,Total Canadian P&C,2018,Q3,Revenue,Premiums Written,Direct,19779051
1,Total Canadian P&C,2018,Q3,Revenue,Premiums Written,Reinsurance Assumed,2513365
2,Total Canadian P&C,2018,Q3,Cost,Premiums Written,Reinsurance Ceded,4925034
3,Total Canadian P&C,2018,Q3,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,1950974
4,Total Canadian P&C,2018,Q3,Revenue,Net Premiums Earned,Service Charges ,93584
5,Total Canadian P&C,2018,Q3,Revenue,Net Premiums Earned,Other ,3919
6,Total Canadian P&C,2018,Q3,Cost,Gross Claims,Gross Claims and Adjustment Expenses,15639285
7,Total Canadian P&C,2018,Q3,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,3223479
8,Total Canadian P&C,2018,Q3,Cost,Acquisition Expenses,Gross Commissions,3733170
9,Total Canadian P&C,2018,Q3,Revenue,Acquisition Expenses,Ceded Commissions,1059152
10,Total Canadian P&C,2018,Q3,Cost,Acquisition Expenses,Taxes,699991
