,Company,Year,Quarter,Capital L1,Capital L2,Capital L3,Value
2,Total Canadian P&C,2020,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Total Canadian P&C,2020,Q1,Capital Available,Total Capital Available,Other,0
4,Total Canadian P&C,2020,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"2,827,281"
5,Total Canadian P&C,2020,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"5,068,342"
6,Total Canadian P&C,2020,Q1,Capital Margin Required,Insurance Risk,Catastrophes,"107,399"
7,Total Canadian P&C,2020,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"176,712"
8,Total Canadian P&C,2020,Q1,Capital Margin Required,Market Risk,Interest rate risk,"736,974"
9,Total Canadian P&C,2020,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,"194,021"
10,Total Canadian P&C,2020,Q1,Capital Margin Required,Market Risk,Equity risk,"1,801,481"
11,Total Canadian P&C,2020,Q1,Capital Margin Required,Market Risk,Real estate risk,"114,988"
12,Total Canadian P&C,2020,Q1,Capital Margin Required,Market Risk,Other market risk exposures,"41,184"
13,Total Canadian P&C,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"1,443,012"
14,Total Canadian P&C,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"93,511"
15,Total Canadian P&C,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"64,655"
16,Total Canadian P&C,2020,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"2,511,817"
17,Total Canadian P&C,2020,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"1,441,992"
18,Total Canadian P&C,2020,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"9,159,592"
19,Total Canadian P&C,2020,Q1,Capital Available,Total Capital Available,Other,0
0,Total Canadian P&C,2019,Q4,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"21,988,347"
1,Total Canadian P&C,2019,Q4,Capital Available,Total Capital Available,Other,0
2,Total Canadian P&C,2019,Q4,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Total Canadian P&C,2019,Q4,Capital Available,Total Capital Available,Other,0
4,Total Canadian P&C,2019,Q4,Capital Margin Required,Insurance Risk,Premium liabilities,"2,916,158"
5,Total Canadian P&C,2019,Q4,Capital Margin Required,Insurance Risk,Unpaid claims,"4,967,144"
6,Total Canadian P&C,2019,Q4,Capital Margin Required,Insurance Risk,Catastrophes,"106,663"
7,Total Canadian P&C,2019,Q4,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"84,900"
8,Total Canadian P&C,2019,Q4,Capital Margin Required,Market Risk,Interest rate risk,"846,162"
9,Total Canadian P&C,2019,Q4,Capital Margin Required,Market Risk,Foreign exchange risk,"288,249"
10,Total Canadian P&C,2019,Q4,Capital Margin Required,Market Risk,Equity risk,"2,442,636"
11,Total Canadian P&C,2019,Q4,Capital Margin Required,Market Risk,Real estate risk,"114,276"
12,Total Canadian P&C,2019,Q4,Capital Margin Required,Market Risk,Other market risk exposures,"43,379"
13,Total Canadian P&C,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"1,473,191"
14,Total Canadian P&C,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"92,401"
15,Total Canadian P&C,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"64,613"
16,Total Canadian P&C,2019,Q4,Capital Margin Required,Operational Risk,Operational risk margin,"2,540,442"
17,Total Canadian P&C,2019,Q4,Diversification Credit,Diversification Credit,Less: Diversification credit,"1,590,005"
18,Total Canadian P&C,2019,Q4,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"9,593,472"
19,Total Canadian P&C,2019,Q4,Capital Available,Total Capital Available,Other,0
0,Total Canadian P&C,2019,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"21,929,031"
1,Total Canadian P&C,2019,Q3,Capital Available,Total Capital Available,Other,0
2,Total Canadian P&C,2019,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Total Canadian P&C,2019,Q3,Capital Available,Total Capital Available,Other,0
4,Total Canadian P&C,2019,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"2,877,516"
5,Total Canadian P&C,2019,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"4,988,347"
6,Total Canadian P&C,2019,Q3,Capital Margin Required,Insurance Risk,Catastrophes,"109,222"
7,Total Canadian P&C,2019,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"77,818"
8,Total Canadian P&C,2019,Q3,Capital Margin Required,Market Risk,Interest rate risk,"805,735"
9,Total Canadian P&C,2019,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,"291,461"
10,Total Canadian P&C,2019,Q3,Capital Margin Required,Market Risk,Equity risk,"2,286,846"
11,Total Canadian P&C,2019,Q3,Capital Margin Required,Market Risk,Real estate risk,"99,976"
12,Total Canadian P&C,2019,Q3,Capital Margin Required,Market Risk,Other market risk exposures,"52,291"
13,Total Canadian P&C,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"1,440,023"
14,Total Canadian P&C,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"90,206"
15,Total Canadian P&C,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"62,111"
16,Total Canadian P&C,2019,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"2,483,575"
17,Total Canadian P&C,2019,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"1,549,674"
18,Total Canadian P&C,2019,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"9,410,305"
19,Total Canadian P&C,2019,Q3,Capital Available,Total Capital Available,Other,0
0,Total Canadian P&C,2019,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"21,644,301"
1,Total Canadian P&C,2019,Q2,Capital Available,Total Capital Available,Other,0
2,Total Canadian P&C,2019,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Total Canadian P&C,2019,Q2,Capital Available,Total Capital Available,Other,0
4,Total Canadian P&C,2019,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"2,812,857"
5,Total Canadian P&C,2019,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"4,897,821"
6,Total Canadian P&C,2019,Q2,Capital Margin Required,Insurance Risk,Catastrophes,"110,411"
7,Total Canadian P&C,2019,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"87,616"
8,Total Canadian P&C,2019,Q2,Capital Margin Required,Market Risk,Interest rate risk,"796,772"
9,Total Canadian P&C,2019,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,"283,756"
10,Total Canadian P&C,2019,Q2,Capital Margin Required,Market Risk,Equity risk,"2,292,606"
11,Total Canadian P&C,2019,Q2,Capital Margin Required,Market Risk,Real estate risk,"98,004"
12,Total Canadian P&C,2019,Q2,Capital Margin Required,Market Risk,Other market risk exposures,"54,391"
13,Total Canadian P&C,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"1,456,368"
14,Total Canadian P&C,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"93,336"
15,Total Canadian P&C,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"60,415"
16,Total Canadian P&C,2019,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"2,456,772"
17,Total Canadian P&C,2019,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"1,536,468"
18,Total Canadian P&C,2019,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"9,309,771"
19,Total Canadian P&C,2019,Q2,Capital Available,Total Capital Available,Other,0
0,Total Canadian P&C,2019,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"21,413,846"
1,Total Canadian P&C,2019,Q1,Capital Available,Total Capital Available,Other,0
2,Total Canadian P&C,2019,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Total Canadian P&C,2019,Q1,Capital Available,Total Capital Available,Other,0
4,Total Canadian P&C,2019,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"2,588,965"
5,Total Canadian P&C,2019,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"4,883,651"
6,Total Canadian P&C,2019,Q1,Capital Margin Required,Insurance Risk,Catastrophes,"106,028"
7,Total Canadian P&C,2019,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"97,085"
8,Total Canadian P&C,2019,Q1,Capital Margin Required,Market Risk,Interest rate risk,"775,079"
9,Total Canadian P&C,2019,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,"279,671"
10,Total Canadian P&C,2019,Q1,Capital Margin Required,Market Risk,Equity risk,"2,360,642"
11,Total Canadian P&C,2019,Q1,Capital Margin Required,Market Risk,Real estate risk,"97,326"
12,Total Canadian P&C,2019,Q1,Capital Margin Required,Market Risk,Other market risk exposures,"58,705"
13,Total Canadian P&C,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"1,418,326"
14,Total Canadian P&C,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"94,369"
15,Total Canadian P&C,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"58,874"
16,Total Canadian P&C,2019,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"2,397,177"
17,Total Canadian P&C,2019,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"1,506,111"
18,Total Canadian P&C,2019,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"9,139,861"
19,Total Canadian P&C,2019,Q1,Capital Available,Total Capital Available,Other,0
0,Total Canadian P&C,2018,Q4,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"20,936,718"
1,Total Canadian P&C,2018,Q4,Capital Available,Total Capital Available,Other,0
2,Total Canadian P&C,2018,Q4,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Total Canadian P&C,2018,Q4,Capital Available,Total Capital Available,Other,0
4,Total Canadian P&C,2018,Q4,Capital Margin Required,Insurance Risk,Premium liabilities,"2,794,833"
5,Total Canadian P&C,2018,Q4,Capital Margin Required,Insurance Risk,Unpaid claims,"4,947,702"
6,Total Canadian P&C,2018,Q4,Capital Margin Required,Insurance Risk,Catastrophes,"106,038"
7,Total Canadian P&C,2018,Q4,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"60,494"
8,Total Canadian P&C,2018,Q4,Capital Margin Required,Market Risk,Interest rate risk,"755,833"
9,Total Canadian P&C,2018,Q4,Capital Margin Required,Market Risk,Foreign exchange risk,"265,943"
10,Total Canadian P&C,2018,Q4,Capital Margin Required,Market Risk,Equity risk,"2,165,320"
11,Total Canadian P&C,2018,Q4,Capital Margin Required,Market Risk,Real estate risk,"83,386"
12,Total Canadian P&C,2018,Q4,Capital Margin Required,Market Risk,Other market risk exposures,"25,007"
13,Total Canadian P&C,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"1,424,869"
14,Total Canadian P&C,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"94,797"
15,Total Canadian P&C,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"57,374"
16,Total Canadian P&C,2018,Q4,Capital Margin Required,Operational Risk,Operational risk margin,"2,338,096"
17,Total Canadian P&C,2018,Q4,Diversification Credit,Diversification Credit,Less: Diversification credit,"1,467,151"
18,Total Canadian P&C,2018,Q4,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"9,101,690"
19,Total Canadian P&C,2018,Q4,Capital Available,Total Capital Available,Other,0
0,Total Canadian P&C,2018,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"21,592,334"
1,Total Canadian P&C,2018,Q3,Capital Available,Total Capital Available,Other,0
2,Total Canadian P&C,2018,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Total Canadian P&C,2018,Q3,Capital Available,Total Capital Available,Other,0
4,Total Canadian P&C,2018,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"2,830,369"
5,Total Canadian P&C,2018,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"4,973,067"
6,Total Canadian P&C,2018,Q3,Capital Margin Required,Insurance Risk,Catastrophes,"106,138"
7,Total Canadian P&C,2018,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"93,801"
8,Total Canadian P&C,2018,Q3,Capital Margin Required,Market Risk,Interest rate risk,"747,086"
9,Total Canadian P&C,2018,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,"320,189"
10,Total Canadian P&C,2018,Q3,Capital Margin Required,Market Risk,Equity risk,"2,567,792"
11,Total Canadian P&C,2018,Q3,Capital Margin Required,Market Risk,Real estate risk,"80,871"
12,Total Canadian P&C,2018,Q3,Capital Margin Required,Market Risk,Other market risk exposures,"24,742"
13,Total Canadian P&C,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"1,435,522"
14,Total Canadian P&C,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"96,181"
15,Total Canadian P&C,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"70,790"
16,Total Canadian P&C,2018,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"2,400,999"
17,Total Canadian P&C,2018,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"1,540,774"
18,Total Canadian P&C,2018,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"9,471,181"
19,Total Canadian P&C,2018,Q3,Capital Available,Total Capital Available,Other,0
0,Total Canadian P&C,2018,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"21,587,473"
1,Total Canadian P&C,2018,Q2,Capital Available,Total Capital Available,Other,0
2,Total Canadian P&C,2018,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Total Canadian P&C,2018,Q2,Capital Available,Total Capital Available,Other,0
4,Total Canadian P&C,2018,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"2,757,360"
5,Total Canadian P&C,2018,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"4,941,557"
6,Total Canadian P&C,2018,Q2,Capital Margin Required,Insurance Risk,Catastrophes,"105,902"
7,Total Canadian P&C,2018,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"80,983"
8,Total Canadian P&C,2018,Q2,Capital Margin Required,Market Risk,Interest rate risk,"733,385"
9,Total Canadian P&C,2018,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,"314,234"
10,Total Canadian P&C,2018,Q2,Capital Margin Required,Market Risk,Equity risk,"2,584,549"
11,Total Canadian P&C,2018,Q2,Capital Margin Required,Market Risk,Real estate risk,"78,750"
12,Total Canadian P&C,2018,Q2,Capital Margin Required,Market Risk,Other market risk exposures,"24,456"
13,Total Canadian P&C,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"1,456,572"
14,Total Canadian P&C,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"99,699"
15,Total Canadian P&C,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"65,443"
16,Total Canadian P&C,2018,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"2,365,411"
17,Total Canadian P&C,2018,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"1,535,547"
18,Total Canadian P&C,2018,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"9,381,836"
19,Total Canadian P&C,2018,Q2,Capital Available,Total Capital Available,Other,0
0,Total Canadian P&C,2018,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"21,522,643"
1,Total Canadian P&C,2018,Q1,Capital Available,Total Capital Available,Other,0
2,Total Canadian P&C,2018,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Total Canadian P&C,2018,Q1,Capital Available,Total Capital Available,Other,0
4,Total Canadian P&C,2018,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"2,579,633"
5,Total Canadian P&C,2018,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"4,950,387"
6,Total Canadian P&C,2018,Q1,Capital Margin Required,Insurance Risk,Catastrophes,"105,915"
7,Total Canadian P&C,2018,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"80,943"
8,Total Canadian P&C,2018,Q1,Capital Margin Required,Market Risk,Interest rate risk,"740,691"
9,Total Canadian P&C,2018,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,"326,503"
10,Total Canadian P&C,2018,Q1,Capital Margin Required,Market Risk,Equity risk,"2,565,919"
11,Total Canadian P&C,2018,Q1,Capital Margin Required,Market Risk,Real estate risk,"35,222"
12,Total Canadian P&C,2018,Q1,Capital Margin Required,Market Risk,Other market risk exposures,"23,222"
13,Total Canadian P&C,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"1,442,328"
14,Total Canadian P&C,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"98,559"
15,Total Canadian P&C,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"64,648"
16,Total Canadian P&C,2018,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"2,333,329"
17,Total Canadian P&C,2018,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"1,507,705"
18,Total Canadian P&C,2018,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"9,226,393"
19,Total Canadian P&C,2018,Q1,Capital Available,Total Capital Available,Other,0
0,AIG Insurance Company of Canada,2020,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"659,674"
1,AIG Insurance Company of Canada,2020,Q3,Capital Available,Total Capital Available,Other,0
2,AIG Insurance Company of Canada,2020,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,AIG Insurance Company of Canada,2020,Q3,Capital Available,Total Capital Available,Other,0
4,AIG Insurance Company of Canada,2020,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"56,128"
5,AIG Insurance Company of Canada,2020,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"180,332"
6,AIG Insurance Company of Canada,2020,Q3,Capital Margin Required,Insurance Risk,Catastrophes,0
7,AIG Insurance Company of Canada,2020,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"12,088"
8,AIG Insurance Company of Canada,2020,Q3,Capital Margin Required,Market Risk,Interest rate risk,"11,367"
9,AIG Insurance Company of Canada,2020,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,AIG Insurance Company of Canada,2020,Q3,Capital Margin Required,Market Risk,Equity risk,0
11,AIG Insurance Company of Canada,2020,Q3,Capital Margin Required,Market Risk,Real estate risk,0
12,AIG Insurance Company of Canada,2020,Q3,Capital Margin Required,Market Risk,Other market risk exposures,0
13,AIG Insurance Company of Canada,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"55,669"
14,AIG Insurance Company of Canada,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"11,989"
15,AIG Insurance Company of Canada,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"23,298"
16,AIG Insurance Company of Canada,2020,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"86,081"
17,AIG Insurance Company of Canada,2020,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"38,336"
18,AIG Insurance Company of Canada,2020,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"265,744"
19,AIG Insurance Company of Canada,2020,Q3,Capital Available,Total Capital Available,Other,0
0,AIG Insurance Company of Canada,2020,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"690,606"
1,AIG Insurance Company of Canada,2020,Q2,Capital Available,Total Capital Available,Other,0
2,AIG Insurance Company of Canada,2020,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,AIG Insurance Company of Canada,2020,Q2,Capital Available,Total Capital Available,Other,0
4,AIG Insurance Company of Canada,2020,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"54,275"
5,AIG Insurance Company of Canada,2020,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"179,401"
6,AIG Insurance Company of Canada,2020,Q2,Capital Margin Required,Insurance Risk,Catastrophes,0
7,AIG Insurance Company of Canada,2020,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"13,238"
8,AIG Insurance Company of Canada,2020,Q2,Capital Margin Required,Market Risk,Interest rate risk,"11,625"
9,AIG Insurance Company of Canada,2020,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,AIG Insurance Company of Canada,2020,Q2,Capital Margin Required,Market Risk,Equity risk,0
11,AIG Insurance Company of Canada,2020,Q2,Capital Margin Required,Market Risk,Real estate risk,0
12,AIG Insurance Company of Canada,2020,Q2,Capital Margin Required,Market Risk,Other market risk exposures,0
13,AIG Insurance Company of Canada,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"61,563"
14,AIG Insurance Company of Canada,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"11,455"
15,AIG Insurance Company of Canada,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"22,681"
16,AIG Insurance Company of Canada,2020,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"85,559"
17,AIG Insurance Company of Canada,2020,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"39,620"
18,AIG Insurance Company of Canada,2020,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"266,785"
19,AIG Insurance Company of Canada,2020,Q2,Capital Available,Total Capital Available,Other,0
0,AIG Insurance Company of Canada,2020,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"621,370"
1,AIG Insurance Company of Canada,2020,Q1,Capital Available,Total Capital Available,Other,0
2,AIG Insurance Company of Canada,2020,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,AIG Insurance Company of Canada,2020,Q1,Capital Available,Total Capital Available,Other,0
