,Company,Year,Quarter,Assets L1,Assets L2,Value
26,Total Canadian P&C,2020,Q3,Goodwill,Goodwill,"1,531,295"
27,Total Canadian P&C,2020,Q3,Intangible Assets,Intangible Assets,"2,178,784"
28,Total Canadian P&C,2020,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,"87,216"
29,Total Canadian P&C,2020,Q3,Other Assets ,Other Assets ,"385,888"
0,Total Canadian P&C,2020,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,"4,165,019"
1,Total Canadian P&C,2020,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,"231,156"
2,Total Canadian P&C,2020,Q2,Assets held for sale,Assets held for sale,763
3,Total Canadian P&C,2020,Q2,Investments,Short Term Investments,"1,701,133"
4,Total Canadian P&C,2020,Q2,Investments,Bonds and Debentures,"41,175,351"
5,Total Canadian P&C,2020,Q2,Investments,Mortgage Loans,"1,048,188"
6,Total Canadian P&C,2020,Q2,Investments,Preferred Shares,"2,197,400"
7,Total Canadian P&C,2020,Q2,Investments,Common Shares,"4,594,479"
8,Total Canadian P&C,2020,Q2,Investments,Investment Properties,"332,288"
9,Total Canadian P&C,2020,Q2,Investments,Other Loans and Invested Assets,"12,660,519"
10,Total Canadian P&C,2020,Q2,Receivables,Unaffiliated Agents and Brokers,"2,086,079"
11,Total Canadian P&C,2020,Q2,Receivables,Policyholders,"307,244"
12,Total Canadian P&C,2020,Q2,Receivables,Instalment Premiums,"11,778,801"
13,Total Canadian P&C,2020,Q2,Receivables,Other Insurers,"571,175"
14,Total Canadian P&C,2020,Q2,Receivables,"Facility Association and the ""P.R.R."" ","348,013"
15,Total Canadian P&C,2020,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures","779,328"
16,Total Canadian P&C,2020,Q2,Receivables,Other Receivables,"364,972"
17,Total Canadian P&C,2020,Q2,Receivables from Reinsurers,Unearned Premiums,"4,894,045"
18,Total Canadian P&C,2020,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"18,312,146"
19,Total Canadian P&C,2020,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,"549,242"
20,Total Canadian P&C,2020,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures","447,156"
21,Total Canadian P&C,2020,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,"7,948,252"
22,Total Canadian P&C,2020,Q2,Property and Equipment,Property and Equipment,"809,798"
23,Total Canadian P&C,2020,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"4,708,334"
24,Total Canadian P&C,2020,Q2,Current Tax Assets,Current Tax Assets,"129,718"
25,Total Canadian P&C,2020,Q2,Deferred Tax Assets,Deferred Tax Assets,"1,090,175"
26,Total Canadian P&C,2020,Q2,Goodwill,Goodwill,"1,537,732"
27,Total Canadian P&C,2020,Q2,Intangible Assets,Intangible Assets,"2,201,230"
28,Total Canadian P&C,2020,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,"95,381"
29,Total Canadian P&C,2020,Q2,Other Assets ,Other Assets ,"408,748"
0,Total Canadian P&C,2020,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,"2,793,834"
1,Total Canadian P&C,2020,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,"284,263"
2,Total Canadian P&C,2020,Q1,Assets held for sale,Assets held for sale,959
3,Total Canadian P&C,2020,Q1,Investments,Short Term Investments,"1,786,564"
4,Total Canadian P&C,2020,Q1,Investments,Bonds and Debentures,"39,629,783"
5,Total Canadian P&C,2020,Q1,Investments,Mortgage Loans,"1,068,804"
6,Total Canadian P&C,2020,Q1,Investments,Preferred Shares,"2,040,564"
7,Total Canadian P&C,2020,Q1,Investments,Common Shares,"4,145,219"
8,Total Canadian P&C,2020,Q1,Investments,Investment Properties,"328,470"
9,Total Canadian P&C,2020,Q1,Investments,Other Loans and Invested Assets,"12,084,727"
10,Total Canadian P&C,2020,Q1,Receivables,Unaffiliated Agents and Brokers,"1,574,240"
11,Total Canadian P&C,2020,Q1,Receivables,Policyholders,"266,057"
12,Total Canadian P&C,2020,Q1,Receivables,Instalment Premiums,"11,050,968"
13,Total Canadian P&C,2020,Q1,Receivables,Other Insurers,"446,972"
14,Total Canadian P&C,2020,Q1,Receivables,"Facility Association and the ""P.R.R."" ","318,290"
15,Total Canadian P&C,2020,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures","797,186"
16,Total Canadian P&C,2020,Q1,Receivables,Other Receivables,"411,694"
17,Total Canadian P&C,2020,Q1,Receivables from Reinsurers,Unearned Premiums,"4,702,869"
18,Total Canadian P&C,2020,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"17,299,320"
19,Total Canadian P&C,2020,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,"545,771"
20,Total Canadian P&C,2020,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures","431,433"
21,Total Canadian P&C,2020,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,"7,653,548"
22,Total Canadian P&C,2020,Q1,Property and Equipment,Property and Equipment,"794,632"
23,Total Canadian P&C,2020,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"4,405,120"
24,Total Canadian P&C,2020,Q1,Current Tax Assets,Current Tax Assets,"436,440"
25,Total Canadian P&C,2020,Q1,Deferred Tax Assets,Deferred Tax Assets,"1,140,189"
26,Total Canadian P&C,2020,Q1,Goodwill,Goodwill,"1,545,401"
27,Total Canadian P&C,2020,Q1,Intangible Assets,Intangible Assets,"2,221,712"
28,Total Canadian P&C,2020,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,"129,891"
29,Total Canadian P&C,2020,Q1,Other Assets ,Other Assets ,"448,038"
0,Total Canadian P&C,2019,Q4,Cash and Cash Equivalents,Cash and Cash Equivalents,"3,176,192"
1,Total Canadian P&C,2019,Q4,Investment Income Due and Accrued,Investment Income Due and Accrued,"237,035"
2,Total Canadian P&C,2019,Q4,Assets held for sale,Assets held for sale,960
3,Total Canadian P&C,2019,Q4,Investments,Short Term Investments,"1,697,706"
4,Total Canadian P&C,2019,Q4,Investments,Bonds and Debentures,"38,955,655"
5,Total Canadian P&C,2019,Q4,Investments,Mortgage Loans,"1,071,712"
6,Total Canadian P&C,2019,Q4,Investments,Preferred Shares,"2,747,754"
7,Total Canadian P&C,2019,Q4,Investments,Common Shares,"5,476,307"
8,Total Canadian P&C,2019,Q4,Investments,Investment Properties,"322,771"
9,Total Canadian P&C,2019,Q4,Investments,Other Loans and Invested Assets,"12,220,443"
10,Total Canadian P&C,2019,Q4,Receivables,Unaffiliated Agents and Brokers,"1,863,149"
11,Total Canadian P&C,2019,Q4,Receivables,Policyholders,"320,283"
12,Total Canadian P&C,2019,Q4,Receivables,Instalment Premiums,"11,838,123"
13,Total Canadian P&C,2019,Q4,Receivables,Other Insurers,"319,683"
14,Total Canadian P&C,2019,Q4,Receivables,"Facility Association and the ""P.R.R."" ","308,058"
15,Total Canadian P&C,2019,Q4,Receivables,"Subsidiaries, Associates & Joint Ventures","553,070"
16,Total Canadian P&C,2019,Q4,Receivables,Other Receivables,"361,886"
17,Total Canadian P&C,2019,Q4,Receivables from Reinsurers,Unearned Premiums,"4,679,014"
18,Total Canadian P&C,2019,Q4,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"16,056,781"
19,Total Canadian P&C,2019,Q4,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,"516,927"
20,Total Canadian P&C,2019,Q4,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures","433,764"
21,Total Canadian P&C,2019,Q4,Investments Accounted for Using the Equity Method,Pooled Funds,"7,776,587"
22,Total Canadian P&C,2019,Q4,Property and Equipment,Property and Equipment,"800,644"
23,Total Canadian P&C,2019,Q4,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"4,625,576"
24,Total Canadian P&C,2019,Q4,Current Tax Assets,Current Tax Assets,"89,880"
25,Total Canadian P&C,2019,Q4,Deferred Tax Assets,Deferred Tax Assets,"1,066,367"
26,Total Canadian P&C,2019,Q4,Goodwill,Goodwill,"1,394,299"
27,Total Canadian P&C,2019,Q4,Intangible Assets,Intangible Assets,"1,949,596"
28,Total Canadian P&C,2019,Q4,Defined Benefit Pension Plan,Defined Benefit Pension Plan,"77,049"
29,Total Canadian P&C,2019,Q4,Other Assets ,Other Assets ,"425,128"
0,Total Canadian P&C,2019,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,"2,852,370"
1,Total Canadian P&C,2019,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,"279,742"
2,Total Canadian P&C,2019,Q3,Assets held for sale,Assets held for sale,0
3,Total Canadian P&C,2019,Q3,Investments,Short Term Investments,"2,238,651"
4,Total Canadian P&C,2019,Q3,Investments,Bonds and Debentures,"38,569,672"
5,Total Canadian P&C,2019,Q3,Investments,Mortgage Loans,"1,021,245"
6,Total Canadian P&C,2019,Q3,Investments,Preferred Shares,"2,605,808"
7,Total Canadian P&C,2019,Q3,Investments,Common Shares,"5,377,445"
8,Total Canadian P&C,2019,Q3,Investments,Investment Properties,"292,070"
9,Total Canadian P&C,2019,Q3,Investments,Other Loans and Invested Assets,"12,090,733"
10,Total Canadian P&C,2019,Q3,Receivables,Unaffiliated Agents and Brokers,"1,469,291"
11,Total Canadian P&C,2019,Q3,Receivables,Policyholders,"309,028"
12,Total Canadian P&C,2019,Q3,Receivables,Instalment Premiums,"11,899,569"
13,Total Canadian P&C,2019,Q3,Receivables,Other Insurers,"325,396"
14,Total Canadian P&C,2019,Q3,Receivables,"Facility Association and the ""P.R.R."" ","311,527"
15,Total Canadian P&C,2019,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures","548,228"
16,Total Canadian P&C,2019,Q3,Receivables,Other Receivables,"329,894"
17,Total Canadian P&C,2019,Q3,Receivables from Reinsurers,Unearned Premiums,"4,738,791"
18,Total Canadian P&C,2019,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"16,228,630"
19,Total Canadian P&C,2019,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,"501,341"
20,Total Canadian P&C,2019,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures","417,569"
21,Total Canadian P&C,2019,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,"7,873,287"
22,Total Canadian P&C,2019,Q3,Property and Equipment,Property and Equipment,"836,771"
23,Total Canadian P&C,2019,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"4,533,835"
24,Total Canadian P&C,2019,Q3,Current Tax Assets,Current Tax Assets,"178,860"
25,Total Canadian P&C,2019,Q3,Deferred Tax Assets,Deferred Tax Assets,"1,040,045"
26,Total Canadian P&C,2019,Q3,Goodwill,Goodwill,"1,394,340"
27,Total Canadian P&C,2019,Q3,Intangible Assets,Intangible Assets,"1,943,237"
28,Total Canadian P&C,2019,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,"69,016"
29,Total Canadian P&C,2019,Q3,Other Assets ,Other Assets ,"422,535"
0,Total Canadian P&C,2019,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,"2,648,659"
1,Total Canadian P&C,2019,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,"233,967"
2,Total Canadian P&C,2019,Q2,Assets held for sale,Assets held for sale,0
3,Total Canadian P&C,2019,Q2,Investments,Short Term Investments,"1,806,384"
4,Total Canadian P&C,2019,Q2,Investments,Bonds and Debentures,"37,825,547"
5,Total Canadian P&C,2019,Q2,Investments,Mortgage Loans,"994,041"
6,Total Canadian P&C,2019,Q2,Investments,Preferred Shares,"2,575,981"
7,Total Canadian P&C,2019,Q2,Investments,Common Shares,"5,373,132"
8,Total Canadian P&C,2019,Q2,Investments,Investment Properties,"288,240"
9,Total Canadian P&C,2019,Q2,Investments,Other Loans and Invested Assets,"11,941,940"
10,Total Canadian P&C,2019,Q2,Receivables,Unaffiliated Agents and Brokers,"1,835,426"
11,Total Canadian P&C,2019,Q2,Receivables,Policyholders,"292,485"
12,Total Canadian P&C,2019,Q2,Receivables,Instalment Premiums,"11,151,598"
13,Total Canadian P&C,2019,Q2,Receivables,Other Insurers,"346,234"
14,Total Canadian P&C,2019,Q2,Receivables,"Facility Association and the ""P.R.R."" ","285,997"
15,Total Canadian P&C,2019,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures","691,227"
16,Total Canadian P&C,2019,Q2,Receivables,Other Receivables,"413,787"
17,Total Canadian P&C,2019,Q2,Receivables from Reinsurers,Unearned Premiums,"4,443,562"
18,Total Canadian P&C,2019,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"16,182,533"
19,Total Canadian P&C,2019,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,"512,652"
20,Total Canadian P&C,2019,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures","421,634"
21,Total Canadian P&C,2019,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,"7,663,525"
22,Total Canadian P&C,2019,Q2,Property and Equipment,Property and Equipment,"843,046"
23,Total Canadian P&C,2019,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"4,338,063"
24,Total Canadian P&C,2019,Q2,Current Tax Assets,Current Tax Assets,"257,108"
25,Total Canadian P&C,2019,Q2,Deferred Tax Assets,Deferred Tax Assets,"1,026,178"
26,Total Canadian P&C,2019,Q2,Goodwill,Goodwill,"1,390,458"
27,Total Canadian P&C,2019,Q2,Intangible Assets,Intangible Assets,"1,935,010"
28,Total Canadian P&C,2019,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,"65,028"
29,Total Canadian P&C,2019,Q2,Other Assets ,Other Assets ,"439,748"
0,Total Canadian P&C,2019,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,"2,544,272"
1,Total Canadian P&C,2019,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,"284,694"
2,Total Canadian P&C,2019,Q1,Assets held for sale,Assets held for sale,0
3,Total Canadian P&C,2019,Q1,Investments,Short Term Investments,"1,401,277"
4,Total Canadian P&C,2019,Q1,Investments,Bonds and Debentures,"37,657,873"
5,Total Canadian P&C,2019,Q1,Investments,Mortgage Loans,"920,195"
6,Total Canadian P&C,2019,Q1,Investments,Preferred Shares,"2,562,695"
7,Total Canadian P&C,2019,Q1,Investments,Common Shares,"5,304,902"
8,Total Canadian P&C,2019,Q1,Investments,Investment Properties,"286,609"
9,Total Canadian P&C,2019,Q1,Investments,Other Loans and Invested Assets,"12,117,262"
10,Total Canadian P&C,2019,Q1,Receivables,Unaffiliated Agents and Brokers,"1,304,018"
11,Total Canadian P&C,2019,Q1,Receivables,Policyholders,"257,776"
12,Total Canadian P&C,2019,Q1,Receivables,Instalment Premiums,"10,124,688"
13,Total Canadian P&C,2019,Q1,Receivables,Other Insurers,"349,459"
14,Total Canadian P&C,2019,Q1,Receivables,"Facility Association and the ""P.R.R."" ","248,029"
15,Total Canadian P&C,2019,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures","605,413"
16,Total Canadian P&C,2019,Q1,Receivables,Other Receivables,"280,558"
17,Total Canadian P&C,2019,Q1,Receivables from Reinsurers,Unearned Premiums,"4,146,671"
18,Total Canadian P&C,2019,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"16,145,766"
19,Total Canadian P&C,2019,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,"478,179"
20,Total Canadian P&C,2019,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures","416,439"
21,Total Canadian P&C,2019,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,"7,625,202"
22,Total Canadian P&C,2019,Q1,Property and Equipment,Property and Equipment,"905,093"
23,Total Canadian P&C,2019,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"3,998,825"
24,Total Canadian P&C,2019,Q1,Current Tax Assets,Current Tax Assets,"307,593"
25,Total Canadian P&C,2019,Q1,Deferred Tax Assets,Deferred Tax Assets,"1,047,444"
26,Total Canadian P&C,2019,Q1,Goodwill,Goodwill,"1,374,012"
27,Total Canadian P&C,2019,Q1,Intangible Assets,Intangible Assets,"1,912,162"
28,Total Canadian P&C,2019,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,"68,327"
29,Total Canadian P&C,2019,Q1,Other Assets ,Other Assets ,"464,787"
0,Total Canadian P&C,2018,Q4,Cash and Cash Equivalents,Cash and Cash Equivalents,"2,491,442"
1,Total Canadian P&C,2018,Q4,Investment Income Due and Accrued,Investment Income Due and Accrued,"230,436"
2,Total Canadian P&C,2018,Q4,Assets held for sale,Assets held for sale,0
3,Total Canadian P&C,2018,Q4,Investments,Short Term Investments,"1,367,816"
4,Total Canadian P&C,2018,Q4,Investments,Bonds and Debentures,"37,397,045"
5,Total Canadian P&C,2018,Q4,Investments,Mortgage Loans,"914,326"
6,Total Canadian P&C,2018,Q4,Investments,Preferred Shares,"2,570,537"
7,Total Canadian P&C,2018,Q4,Investments,Common Shares,"4,918,191"
8,Total Canadian P&C,2018,Q4,Investments,Investment Properties,"285,797"
9,Total Canadian P&C,2018,Q4,Investments,Other Loans and Invested Assets,"11,827,897"
10,Total Canadian P&C,2018,Q4,Receivables,Unaffiliated Agents and Brokers,"1,620,241"
11,Total Canadian P&C,2018,Q4,Receivables,Policyholders,"286,859"
12,Total Canadian P&C,2018,Q4,Receivables,Instalment Premiums,"10,921,750"
13,Total Canadian P&C,2018,Q4,Receivables,Other Insurers,"352,862"
14,Total Canadian P&C,2018,Q4,Receivables,"Facility Association and the ""P.R.R."" ","242,421"
15,Total Canadian P&C,2018,Q4,Receivables,"Subsidiaries, Associates & Joint Ventures","383,735"
16,Total Canadian P&C,2018,Q4,Receivables,Other Receivables,"299,786"
17,Total Canadian P&C,2018,Q4,Receivables from Reinsurers,Unearned Premiums,"3,782,408"
18,Total Canadian P&C,2018,Q4,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"14,778,830"
19,Total Canadian P&C,2018,Q4,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,"494,655"
20,Total Canadian P&C,2018,Q4,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures","416,912"
21,Total Canadian P&C,2018,Q4,Investments Accounted for Using the Equity Method,Pooled Funds,"7,520,427"
22,Total Canadian P&C,2018,Q4,Property and Equipment,Property and Equipment,"469,535"
23,Total Canadian P&C,2018,Q4,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"4,296,188"
24,Total Canadian P&C,2018,Q4,Current Tax Assets,Current Tax Assets,"442,551"
25,Total Canadian P&C,2018,Q4,Deferred Tax Assets,Deferred Tax Assets,"1,094,655"
26,Total Canadian P&C,2018,Q4,Goodwill,Goodwill,"1,372,425"
27,Total Canadian P&C,2018,Q4,Intangible Assets,Intangible Assets,"1,916,223"
28,Total Canadian P&C,2018,Q4,Defined Benefit Pension Plan,Defined Benefit Pension Plan,"63,611"
29,Total Canadian P&C,2018,Q4,Other Assets ,Other Assets ,"398,704"
0,Total Canadian P&C,2018,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,"2,497,804"
1,Total Canadian P&C,2018,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,"295,531"
2,Total Canadian P&C,2018,Q3,Assets held for sale,Assets held for sale,0
3,Total Canadian P&C,2018,Q3,Investments,Short Term Investments,"1,274,580"
4,Total Canadian P&C,2018,Q3,Investments,Bonds and Debentures,"37,187,298"
5,Total Canadian P&C,2018,Q3,Investments,Mortgage Loans,"874,177"
6,Total Canadian P&C,2018,Q3,Investments,Preferred Shares,"2,854,838"
7,Total Canadian P&C,2018,Q3,Investments,Common Shares,"5,877,694"
8,Total Canadian P&C,2018,Q3,Investments,Investment Properties,"276,050"
9,Total Canadian P&C,2018,Q3,Investments,Other Loans and Invested Assets,"11,893,588"
10,Total Canadian P&C,2018,Q3,Receivables,Unaffiliated Agents and Brokers,"1,286,597"
11,Total Canadian P&C,2018,Q3,Receivables,Policyholders,"255,011"
12,Total Canadian P&C,2018,Q3,Receivables,Instalment Premiums,"11,169,279"
13,Total Canadian P&C,2018,Q3,Receivables,Other Insurers,"369,383"
14,Total Canadian P&C,2018,Q3,Receivables,"Facility Association and the ""P.R.R."" ","247,161"
15,Total Canadian P&C,2018,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures","495,937"
16,Total Canadian P&C,2018,Q3,Receivables,Other Receivables,"313,450"
17,Total Canadian P&C,2018,Q3,Receivables from Reinsurers,Unearned Premiums,"3,926,591"
18,Total Canadian P&C,2018,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"14,909,868"
19,Total Canadian P&C,2018,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,"498,579"
20,Total Canadian P&C,2018,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures","407,536"
21,Total Canadian P&C,2018,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,"7,517,818"
22,Total Canadian P&C,2018,Q3,Property and Equipment,Property and Equipment,"464,350"
23,Total Canadian P&C,2018,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"4,292,805"
24,Total Canadian P&C,2018,Q3,Current Tax Assets,Current Tax Assets,"412,038"
25,Total Canadian P&C,2018,Q3,Deferred Tax Assets,Deferred Tax Assets,"915,444"
26,Total Canadian P&C,2018,Q3,Goodwill,Goodwill,"1,375,835"
27,Total Canadian P&C,2018,Q3,Intangible Assets,Intangible Assets,"1,922,755"
28,Total Canadian P&C,2018,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,"87,388"
29,Total Canadian P&C,2018,Q3,Other Assets ,Other Assets ,"365,585"
0,Total Canadian P&C,2018,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,"2,379,312"
1,Total Canadian P&C,2018,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,"236,824"
2,Total Canadian P&C,2018,Q2,Assets held for sale,Assets held for sale,0
3,Total Canadian P&C,2018,Q2,Investments,Short Term Investments,"906,663"
4,Total Canadian P&C,2018,Q2,Investments,Bonds and Debentures,"37,049,672"
5,Total Canadian P&C,2018,Q2,Investments,Mortgage Loans,"881,626"
6,Total Canadian P&C,2018,Q2,Investments,Preferred Shares,"2,806,023"
7,Total Canadian P&C,2018,Q2,Investments,Common Shares,"5,943,722"
8,Total Canadian P&C,2018,Q2,Investments,Investment Properties,"273,755"
9,Total Canadian P&C,2018,Q2,Investments,Other Loans and Invested Assets,"11,752,110"
10,Total Canadian P&C,2018,Q2,Receivables,Unaffiliated Agents and Brokers,"1,745,898"
11,Total Canadian P&C,2018,Q2,Receivables,Policyholders,"238,163"
12,Total Canadian P&C,2018,Q2,Receivables,Instalment Premiums,"10,390,201"
13,Total Canadian P&C,2018,Q2,Receivables,Other Insurers,"355,706"
14,Total Canadian P&C,2018,Q2,Receivables,"Facility Association and the ""P.R.R."" ","260,384"
15,Total Canadian P&C,2018,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures","617,897"
16,Total Canadian P&C,2018,Q2,Receivables,Other Receivables,"330,928"
17,Total Canadian P&C,2018,Q2,Receivables from Reinsurers,Unearned Premiums,"3,812,727"
18,Total Canadian P&C,2018,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"14,793,745"
19,Total Canadian P&C,2018,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,"490,927"
20,Total Canadian P&C,2018,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures","460,126"
21,Total Canadian P&C,2018,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,"7,256,200"
22,Total Canadian P&C,2018,Q2,Property and Equipment,Property and Equipment,"461,931"
23,Total Canadian P&C,2018,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"4,147,525"
24,Total Canadian P&C,2018,Q2,Current Tax Assets,Current Tax Assets,"596,210"
25,Total Canadian P&C,2018,Q2,Deferred Tax Assets,Deferred Tax Assets,"920,290"
26,Total Canadian P&C,2018,Q2,Goodwill,Goodwill,"1,374,463"
27,Total Canadian P&C,2018,Q2,Intangible Assets,Intangible Assets,"1,924,365"
28,Total Canadian P&C,2018,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,"83,814"
29,Total Canadian P&C,2018,Q2,Other Assets ,Other Assets ,"363,056"
0,Total Canadian P&C,2018,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,"2,395,950"
1,Total Canadian P&C,2018,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,"292,504"
2,Total Canadian P&C,2018,Q1,Assets held for sale,Assets held for sale,0
3,Total Canadian P&C,2018,Q1,Investments,Short Term Investments,"869,229"
4,Total Canadian P&C,2018,Q1,Investments,Bonds and Debentures,"37,031,475"
5,Total Canadian P&C,2018,Q1,Investments,Mortgage Loans,"874,787"
6,Total Canadian P&C,2018,Q1,Investments,Preferred Shares,"2,749,833"
