Company,Year,Quarter,Assets L1,Assets L2,Value
Total Canadian P&C,2020,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,87216
Total Canadian P&C,2020,Q3,Other Assets ,Other Assets ,385888
Total Canadian P&C,2020,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,4165019
Total Canadian P&C,2020,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,231156
Total Canadian P&C,2020,Q2,Assets held for sale,Assets held for sale,763
Total Canadian P&C,2020,Q2,Investments,Short Term Investments,1701133
Total Canadian P&C,2020,Q2,Investments,Bonds and Debentures,41175351
Total Canadian P&C,2020,Q2,Investments,Mortgage Loans,1048188
Total Canadian P&C,2020,Q2,Investments,Preferred Shares,2197400
Total Canadian P&C,2020,Q2,Investments,Common Shares,4594479
Total Canadian P&C,2020,Q2,Investments,Investment Properties,332288
Total Canadian P&C,2020,Q2,Investments,Other Loans and Invested Assets,12660519
Total Canadian P&C,2020,Q2,Receivables,Unaffiliated Agents and Brokers,2086079
Total Canadian P&C,2020,Q2,Receivables,Policyholders,307244
Total Canadian P&C,2020,Q2,Receivables,Instalment Premiums,11778801
Total Canadian P&C,2020,Q2,Receivables,Other Insurers,571175
Total Canadian P&C,2020,Q2,Receivables,"Facility Association and the ""P.R.R."" ",348013
Total Canadian P&C,2020,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures",779328
Total Canadian P&C,2020,Q2,Receivables,Other Receivables,364972
Total Canadian P&C,2020,Q2,Receivables from Reinsurers,Unearned Premiums,4894045
Total Canadian P&C,2020,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,18312146
Total Canadian P&C,2020,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,549242
Total Canadian P&C,2020,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",447156
Total Canadian P&C,2020,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,7948252
Total Canadian P&C,2020,Q2,Property and Equipment,Property and Equipment,809798
Total Canadian P&C,2020,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,4708334
Total Canadian P&C,2020,Q2,Current Tax Assets,Current Tax Assets,129718
Total Canadian P&C,2020,Q2,Deferred Tax Assets,Deferred Tax Assets,1090175
Total Canadian P&C,2020,Q2,Goodwill,Goodwill,1537732
Total Canadian P&C,2020,Q2,Intangible Assets,Intangible Assets,2201230
Total Canadian P&C,2020,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,95381
Total Canadian P&C,2020,Q2,Other Assets ,Other Assets ,408748
Total Canadian P&C,2020,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,2793834
Total Canadian P&C,2020,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,284263
Total Canadian P&C,2020,Q1,Assets held for sale,Assets held for sale,959
Total Canadian P&C,2020,Q1,Investments,Short Term Investments,1786564
Total Canadian P&C,2020,Q1,Investments,Bonds and Debentures,39629783
Total Canadian P&C,2020,Q1,Investments,Mortgage Loans,1068804
Total Canadian P&C,2020,Q1,Investments,Preferred Shares,2040564
Total Canadian P&C,2020,Q1,Investments,Common Shares,4145219
Total Canadian P&C,2020,Q1,Investments,Investment Properties,328470
Total Canadian P&C,2020,Q1,Investments,Other Loans and Invested Assets,12084727
Total Canadian P&C,2020,Q1,Receivables,Unaffiliated Agents and Brokers,1574240
Total Canadian P&C,2020,Q1,Receivables,Policyholders,266057
Total Canadian P&C,2020,Q1,Receivables,Instalment Premiums,11050968
Total Canadian P&C,2020,Q1,Receivables,Other Insurers,446972
Total Canadian P&C,2020,Q1,Receivables,"Facility Association and the ""P.R.R."" ",318290
Total Canadian P&C,2020,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures",797186
Total Canadian P&C,2020,Q1,Receivables,Other Receivables,411694
Total Canadian P&C,2020,Q1,Receivables from Reinsurers,Unearned Premiums,4702869
Total Canadian P&C,2020,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,17299320
Total Canadian P&C,2020,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,545771
Total Canadian P&C,2020,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",431433
Total Canadian P&C,2020,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,7653548
Total Canadian P&C,2020,Q1,Property and Equipment,Property and Equipment,794632
Total Canadian P&C,2020,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,4405120
Total Canadian P&C,2020,Q1,Current Tax Assets,Current Tax Assets,436440
Total Canadian P&C,2020,Q1,Deferred Tax Assets,Deferred Tax Assets,1140189
Total Canadian P&C,2020,Q1,Goodwill,Goodwill,1545401
Total Canadian P&C,2020,Q1,Intangible Assets,Intangible Assets,2221712
Total Canadian P&C,2020,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,129891
Total Canadian P&C,2020,Q1,Other Assets ,Other Assets ,448038
Total Canadian P&C,2019,Q4,Cash and Cash Equivalents,Cash and Cash Equivalents,3176192
Total Canadian P&C,2019,Q4,Investment Income Due and Accrued,Investment Income Due and Accrued,237035
Total Canadian P&C,2019,Q4,Assets held for sale,Assets held for sale,960
Total Canadian P&C,2019,Q4,Investments,Short Term Investments,1697706
Total Canadian P&C,2019,Q4,Investments,Bonds and Debentures,38955655
Total Canadian P&C,2019,Q4,Investments,Mortgage Loans,1071712
Total Canadian P&C,2019,Q4,Investments,Preferred Shares,2747754
Total Canadian P&C,2019,Q4,Investments,Common Shares,5476307
Total Canadian P&C,2019,Q4,Investments,Investment Properties,322771
Total Canadian P&C,2019,Q4,Investments,Other Loans and Invested Assets,12220443
Total Canadian P&C,2019,Q4,Receivables,Unaffiliated Agents and Brokers,1863149
Total Canadian P&C,2019,Q4,Receivables,Policyholders,320283
Total Canadian P&C,2019,Q4,Receivables,Instalment Premiums,11838123
Total Canadian P&C,2019,Q4,Receivables,Other Insurers,319683
Total Canadian P&C,2019,Q4,Receivables,"Facility Association and the ""P.R.R."" ",308058
Total Canadian P&C,2019,Q4,Receivables,"Subsidiaries, Associates & Joint Ventures",553070
Total Canadian P&C,2019,Q4,Receivables,Other Receivables,361886
Total Canadian P&C,2019,Q4,Receivables from Reinsurers,Unearned Premiums,4679014
Total Canadian P&C,2019,Q4,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,16056781
Total Canadian P&C,2019,Q4,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,516927
Total Canadian P&C,2019,Q4,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",433764
Total Canadian P&C,2019,Q4,Investments Accounted for Using the Equity Method,Pooled Funds,7776587
Total Canadian P&C,2019,Q4,Property and Equipment,Property and Equipment,800644
Total Canadian P&C,2019,Q4,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,4625576
Total Canadian P&C,2019,Q4,Current Tax Assets,Current Tax Assets,89880
Total Canadian P&C,2019,Q4,Deferred Tax Assets,Deferred Tax Assets,1066367
Total Canadian P&C,2019,Q4,Goodwill,Goodwill,1394299
Total Canadian P&C,2019,Q4,Intangible Assets,Intangible Assets,1949596
Total Canadian P&C,2019,Q4,Defined Benefit Pension Plan,Defined Benefit Pension Plan,77049
Total Canadian P&C,2019,Q4,Other Assets ,Other Assets ,425128
Total Canadian P&C,2019,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,2852370
Total Canadian P&C,2019,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,279742
Total Canadian P&C,2019,Q3,Assets held for sale,Assets held for sale,0
Total Canadian P&C,2019,Q3,Investments,Short Term Investments,2238651
Total Canadian P&C,2019,Q3,Investments,Bonds and Debentures,38569672
Total Canadian P&C,2019,Q3,Investments,Mortgage Loans,1021245
Total Canadian P&C,2019,Q3,Investments,Preferred Shares,2605808
Total Canadian P&C,2019,Q3,Investments,Common Shares,5377445
Total Canadian P&C,2019,Q3,Investments,Investment Properties,292070
Total Canadian P&C,2019,Q3,Investments,Other Loans and Invested Assets,12090733
Total Canadian P&C,2019,Q3,Receivables,Unaffiliated Agents and Brokers,1469291
Total Canadian P&C,2019,Q3,Receivables,Policyholders,309028
Total Canadian P&C,2019,Q3,Receivables,Instalment Premiums,11899569
Total Canadian P&C,2019,Q3,Receivables,Other Insurers,325396
Total Canadian P&C,2019,Q3,Receivables,"Facility Association and the ""P.R.R."" ",311527
Total Canadian P&C,2019,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures",548228
Total Canadian P&C,2019,Q3,Receivables,Other Receivables,329894
Total Canadian P&C,2019,Q3,Receivables from Reinsurers,Unearned Premiums,4738791
Total Canadian P&C,2019,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,16228630
Total Canadian P&C,2019,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,501341
Total Canadian P&C,2019,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",417569
Total Canadian P&C,2019,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,7873287
Total Canadian P&C,2019,Q3,Property and Equipment,Property and Equipment,836771
Total Canadian P&C,2019,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,4533835
Total Canadian P&C,2019,Q3,Current Tax Assets,Current Tax Assets,178860
Total Canadian P&C,2019,Q3,Deferred Tax Assets,Deferred Tax Assets,1040045
Total Canadian P&C,2019,Q3,Goodwill,Goodwill,1394340
Total Canadian P&C,2019,Q3,Intangible Assets,Intangible Assets,1943237
Total Canadian P&C,2019,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,69016
Total Canadian P&C,2019,Q3,Other Assets ,Other Assets ,422535
Total Canadian P&C,2019,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,2648659
Total Canadian P&C,2019,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,233967
Total Canadian P&C,2019,Q2,Assets held for sale,Assets held for sale,0
Total Canadian P&C,2019,Q2,Investments,Short Term Investments,1806384
Total Canadian P&C,2019,Q2,Investments,Bonds and Debentures,37825547
Total Canadian P&C,2019,Q2,Investments,Mortgage Loans,994041
Total Canadian P&C,2019,Q2,Investments,Preferred Shares,2575981
Total Canadian P&C,2019,Q2,Investments,Common Shares,5373132
Total Canadian P&C,2019,Q2,Investments,Investment Properties,288240
Total Canadian P&C,2019,Q2,Investments,Other Loans and Invested Assets,11941940
Total Canadian P&C,2019,Q2,Receivables,Unaffiliated Agents and Brokers,1835426
Total Canadian P&C,2019,Q2,Receivables,Policyholders,292485
Total Canadian P&C,2019,Q2,Receivables,Instalment Premiums,11151598
Total Canadian P&C,2019,Q2,Receivables,Other Insurers,346234
Total Canadian P&C,2019,Q2,Receivables,"Facility Association and the ""P.R.R."" ",285997
Total Canadian P&C,2019,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures",691227
Total Canadian P&C,2019,Q2,Receivables,Other Receivables,413787
Total Canadian P&C,2019,Q2,Receivables from Reinsurers,Unearned Premiums,4443562
Total Canadian P&C,2019,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,16182533
Total Canadian P&C,2019,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,512652
Total Canadian P&C,2019,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",421634
Total Canadian P&C,2019,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,7663525
Total Canadian P&C,2019,Q2,Property and Equipment,Property and Equipment,843046
Total Canadian P&C,2019,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,4338063
Total Canadian P&C,2019,Q2,Current Tax Assets,Current Tax Assets,257108
Total Canadian P&C,2019,Q2,Deferred Tax Assets,Deferred Tax Assets,1026178
Total Canadian P&C,2019,Q2,Goodwill,Goodwill,1390458
Total Canadian P&C,2019,Q2,Intangible Assets,Intangible Assets,1935010
Total Canadian P&C,2019,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,65028
Total Canadian P&C,2019,Q2,Other Assets ,Other Assets ,439748
Total Canadian P&C,2019,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,2544272
Total Canadian P&C,2019,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,284694
Total Canadian P&C,2019,Q1,Assets held for sale,Assets held for sale,0
Total Canadian P&C,2019,Q1,Investments,Short Term Investments,1401277
Total Canadian P&C,2019,Q1,Investments,Bonds and Debentures,37657873
Total Canadian P&C,2019,Q1,Investments,Mortgage Loans,920195
Total Canadian P&C,2019,Q1,Investments,Preferred Shares,2562695
Total Canadian P&C,2019,Q1,Investments,Common Shares,5304902
Total Canadian P&C,2019,Q1,Investments,Investment Properties,286609
Total Canadian P&C,2019,Q1,Investments,Other Loans and Invested Assets,12117262
Total Canadian P&C,2019,Q1,Receivables,Unaffiliated Agents and Brokers,1304018
Total Canadian P&C,2019,Q1,Receivables,Policyholders,257776
Total Canadian P&C,2019,Q1,Receivables,Instalment Premiums,10124688
Total Canadian P&C,2019,Q1,Receivables,Other Insurers,349459
Total Canadian P&C,2019,Q1,Receivables,"Facility Association and the ""P.R.R."" ",248029
Total Canadian P&C,2019,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures",605413
Total Canadian P&C,2019,Q1,Receivables,Other Receivables,280558
Total Canadian P&C,2019,Q1,Receivables from Reinsurers,Unearned Premiums,4146671
Total Canadian P&C,2019,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,16145766
Total Canadian P&C,2019,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,478179
Total Canadian P&C,2019,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",416439
Total Canadian P&C,2019,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,7625202
Total Canadian P&C,2019,Q1,Property and Equipment,Property and Equipment,905093
Total Canadian P&C,2019,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,3998825
Total Canadian P&C,2019,Q1,Current Tax Assets,Current Tax Assets,307593
Total Canadian P&C,2019,Q1,Deferred Tax Assets,Deferred Tax Assets,1047444
Total Canadian P&C,2019,Q1,Goodwill,Goodwill,1374012
Total Canadian P&C,2019,Q1,Intangible Assets,Intangible Assets,1912162
Total Canadian P&C,2019,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,68327
Total Canadian P&C,2019,Q1,Other Assets ,Other Assets ,464787
Total Canadian P&C,2018,Q4,Cash and Cash Equivalents,Cash and Cash Equivalents,2491442
Total Canadian P&C,2018,Q4,Investment Income Due and Accrued,Investment Income Due and Accrued,230436
Total Canadian P&C,2018,Q4,Assets held for sale,Assets held for sale,0
Total Canadian P&C,2018,Q4,Investments,Short Term Investments,1367816
Total Canadian P&C,2018,Q4,Investments,Bonds and Debentures,37397045
Total Canadian P&C,2018,Q4,Investments,Mortgage Loans,914326
Total Canadian P&C,2018,Q4,Investments,Preferred Shares,2570537
Total Canadian P&C,2018,Q4,Investments,Common Shares,4918191
Total Canadian P&C,2018,Q4,Investments,Investment Properties,285797
Total Canadian P&C,2018,Q4,Investments,Other Loans and Invested Assets,11827897
Total Canadian P&C,2018,Q4,Receivables,Unaffiliated Agents and Brokers,1620241
Total Canadian P&C,2018,Q4,Receivables,Policyholders,286859
Total Canadian P&C,2018,Q4,Receivables,Instalment Premiums,10921750
Total Canadian P&C,2018,Q4,Receivables,Other Insurers,352862
Total Canadian P&C,2018,Q4,Receivables,"Facility Association and the ""P.R.R."" ",242421
Total Canadian P&C,2018,Q4,Receivables,"Subsidiaries, Associates & Joint Ventures",383735
Total Canadian P&C,2018,Q4,Receivables,Other Receivables,299786
Total Canadian P&C,2018,Q4,Receivables from Reinsurers,Unearned Premiums,3782408
Total Canadian P&C,2018,Q4,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,14778830
Total Canadian P&C,2018,Q4,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,494655
Total Canadian P&C,2018,Q4,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",416912
Total Canadian P&C,2018,Q4,Investments Accounted for Using the Equity Method,Pooled Funds,7520427
Total Canadian P&C,2018,Q4,Property and Equipment,Property and Equipment,469535
Total Canadian P&C,2018,Q4,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,4296188
Total Canadian P&C,2018,Q4,Current Tax Assets,Current Tax Assets,442551
Total Canadian P&C,2018,Q4,Deferred Tax Assets,Deferred Tax Assets,1094655
Total Canadian P&C,2018,Q4,Goodwill,Goodwill,1372425
Total Canadian P&C,2018,Q4,Intangible Assets,Intangible Assets,1916223
Total Canadian P&C,2018,Q4,Defined Benefit Pension Plan,Defined Benefit Pension Plan,63611
Total Canadian P&C,2018,Q4,Other Assets ,Other Assets ,398704
Total Canadian P&C,2018,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,2497804
Total Canadian P&C,2018,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,295531
Total Canadian P&C,2018,Q3,Assets held for sale,Assets held for sale,0
Total Canadian P&C,2018,Q3,Investments,Short Term Investments,1274580
Total Canadian P&C,2018,Q3,Investments,Bonds and Debentures,37187298
Total Canadian P&C,2018,Q3,Investments,Mortgage Loans,874177
Total Canadian P&C,2018,Q3,Investments,Preferred Shares,2854838
Total Canadian P&C,2018,Q3,Investments,Common Shares,5877694
Total Canadian P&C,2018,Q3,Investments,Investment Properties,276050
Total Canadian P&C,2018,Q3,Investments,Other Loans and Invested Assets,11893588
Total Canadian P&C,2018,Q3,Receivables,Unaffiliated Agents and Brokers,1286597
Total Canadian P&C,2018,Q3,Receivables,Policyholders,255011
Total Canadian P&C,2018,Q3,Receivables,Instalment Premiums,11169279
Total Canadian P&C,2018,Q3,Receivables,Other Insurers,369383
Total Canadian P&C,2018,Q3,Receivables,"Facility Association and the ""P.R.R."" ",247161
Total Canadian P&C,2018,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures",495937
Total Canadian P&C,2018,Q3,Receivables,Other Receivables,313450
Total Canadian P&C,2018,Q3,Receivables from Reinsurers,Unearned Premiums,3926591
Total Canadian P&C,2018,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,14909868
Total Canadian P&C,2018,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,498579
Total Canadian P&C,2018,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",407536
Total Canadian P&C,2018,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,7517818
Total Canadian P&C,2018,Q3,Property and Equipment,Property and Equipment,464350
Total Canadian P&C,2018,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,4292805
Total Canadian P&C,2018,Q3,Current Tax Assets,Current Tax Assets,412038
Total Canadian P&C,2018,Q3,Deferred Tax Assets,Deferred Tax Assets,915444
Total Canadian P&C,2018,Q3,Goodwill,Goodwill,1375835
Total Canadian P&C,2018,Q3,Intangible Assets,Intangible Assets,1922755
Total Canadian P&C,2018,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,87388
Total Canadian P&C,2018,Q3,Other Assets ,Other Assets ,365585
Total Canadian P&C,2018,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,2379312
Total Canadian P&C,2018,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,236824
Total Canadian P&C,2018,Q2,Assets held for sale,Assets held for sale,0
Total Canadian P&C,2018,Q2,Investments,Short Term Investments,906663
Total Canadian P&C,2018,Q2,Investments,Bonds and Debentures,37049672
Total Canadian P&C,2018,Q2,Investments,Mortgage Loans,881626
Total Canadian P&C,2018,Q2,Investments,Preferred Shares,2806023
Total Canadian P&C,2018,Q2,Investments,Common Shares,5943722
Total Canadian P&C,2018,Q2,Investments,Investment Properties,273755
Total Canadian P&C,2018,Q2,Investments,Other Loans and Invested Assets,11752110
Total Canadian P&C,2018,Q2,Receivables,Unaffiliated Agents and Brokers,1745898
Total Canadian P&C,2018,Q2,Receivables,Policyholders,238163
Total Canadian P&C,2018,Q2,Receivables,Instalment Premiums,10390201
Total Canadian P&C,2018,Q2,Receivables,Other Insurers,355706
Total Canadian P&C,2018,Q2,Receivables,"Facility Association and the ""P.R.R."" ",260384
Total Canadian P&C,2018,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures",617897
Total Canadian P&C,2018,Q2,Receivables,Other Receivables,330928
Total Canadian P&C,2018,Q2,Receivables from Reinsurers,Unearned Premiums,3812727
Total Canadian P&C,2018,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,14793745
Total Canadian P&C,2018,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,490927
Total Canadian P&C,2018,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",460126
Total Canadian P&C,2018,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,7256200
Total Canadian P&C,2018,Q2,Property and Equipment,Property and Equipment,461931
Total Canadian P&C,2018,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,4147525
Total Canadian P&C,2018,Q2,Current Tax Assets,Current Tax Assets,596210
Total Canadian P&C,2018,Q2,Deferred Tax Assets,Deferred Tax Assets,920290
Total Canadian P&C,2018,Q2,Goodwill,Goodwill,1374463
Total Canadian P&C,2018,Q2,Intangible Assets,Intangible Assets,1924365
Total Canadian P&C,2018,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,83814
Total Canadian P&C,2018,Q2,Other Assets ,Other Assets ,363056
Total Canadian P&C,2018,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,2395950
Total Canadian P&C,2018,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,292504
Total Canadian P&C,2018,Q1,Assets held for sale,Assets held for sale,0
Total Canadian P&C,2018,Q1,Investments,Short Term Investments,869229
Total Canadian P&C,2018,Q1,Investments,Bonds and Debentures,37031475
Total Canadian P&C,2018,Q1,Investments,Mortgage Loans,874787
Total Canadian P&C,2018,Q1,Investments,Preferred Shares,2749833
Total Canadian P&C,2018,Q1,Investments,Common Shares,5883920
Total Canadian P&C,2018,Q1,Investments,Investment Properties,65140
Total Canadian P&C,2018,Q1,Investments,Other Loans and Invested Assets,12279245
Total Canadian P&C,2018,Q1,Receivables,Unaffiliated Agents and Brokers,1302239
Total Canadian P&C,2018,Q1,Receivables,Policyholders,195964
Total Canadian P&C,2018,Q1,Receivables,Instalment Premiums,9433860
Total Canadian P&C,2018,Q1,Receivables,Other Insurers,337658
Total Canadian P&C,2018,Q1,Receivables,"Facility Association and the ""P.R.R."" ",218799
Total Canadian P&C,2018,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures",588867
Total Canadian P&C,2018,Q1,Receivables,Other Receivables,304587
Total Canadian P&C,2018,Q1,Receivables from Reinsurers,Unearned Premiums,3511624
Total Canadian P&C,2018,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,14664231
Total Canadian P&C,2018,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,498272
Total Canadian P&C,2018,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",455252
Total Canadian P&C,2018,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,7168395
Total Canadian P&C,2018,Q1,Property and Equipment,Property and Equipment,448811
Total Canadian P&C,2018,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,3800318
Total Canadian P&C,2018,Q1,Current Tax Assets,Current Tax Assets,462006
Total Canadian P&C,2018,Q1,Deferred Tax Assets,Deferred Tax Assets,940731
Total Canadian P&C,2018,Q1,Goodwill,Goodwill,1359671
Total Canadian P&C,2018,Q1,Intangible Assets,Intangible Assets,1915657
Total Canadian P&C,2018,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,79755
Total Canadian P&C,2018,Q1,Other Assets ,Other Assets ,353247
Total Canadian P&C,2017,Q4,Cash and Cash Equivalents,Cash and Cash Equivalents,2912765
Total Canadian P&C,2017,Q4,Investment Income Due and Accrued,Investment Income Due and Accrued,267905
Total Canadian P&C,2017,Q4,Assets held for sale,Assets held for sale,0
Total Canadian P&C,2017,Q4,Investments,Short Term Investments,2680803
Total Canadian P&C,2017,Q4,Investments,Bonds and Debentures,42696713
Total Canadian P&C,2017,Q4,Investments,Mortgage Loans,902948
Total Canadian P&C,2017,Q4,Investments,Preferred Shares,3531806
Total Canadian P&C,2017,Q4,Investments,Common Shares,6517013
Total Canadian P&C,2017,Q4,Investments,Investment Properties,61800
Total Canadian P&C,2017,Q4,Investments,Other Loans and Invested Assets,12709485
Total Canadian P&C,2017,Q4,Receivables,Unaffiliated Agents and Brokers,1517976
Total Canadian P&C,2017,Q4,Receivables,Policyholders,201528
Total Canadian P&C,2017,Q4,Receivables,Instalment Premiums,10263164
Total Canadian P&C,2017,Q4,Receivables,Other Insurers,423413
Total Canadian P&C,2017,Q4,Receivables,"Facility Association and the ""P.R.R."" ",225897
Total Canadian P&C,2017,Q4,Receivables,"Subsidiaries, Associates & Joint Ventures",534443
Total Canadian P&C,2017,Q4,Receivables,Other Receivables,301284
Total Canadian P&C,2017,Q4,Receivables from Reinsurers,Unearned Premiums,4101116
